,Taxonomy,Collection_Date,Cumulative_Count_x,Count_x,Cumulative_Count_y,Count_y
88,Barranqueras virus,1905.0,4.0,4.0,3,3
89,Retroviridae,1905.0,87.0,3.0,51,2
90,Hapavirus,1905.0,23.0,23.0,3,3
91,Togaviridae,1905.0,2.0,2.0,1,1
92,Alphavirus,1905.0,2.0,2.0,1,1
93,Enterovirus A,1905.0,1.0,1.0,1,1
94,Enterovirus C,1909.0,2.0,2.0,2,2
95,Picornaviridae,1909.0,4.0,2.0,4,2
96,All Species,1909.0,628.0,2.0,100,2
97,Enterovirus,1909.0,3.0,2.0,3,2
98,Rinderpest morbillivirus,1910.0,56.0,56.0,8,8
99,All Species,1910.0,684.0,56.0,108,8
100,Paramyxoviridae,1910.0,57.0,56.0,10,8
101,Morbillivirus,1910.0,57.0,56.0,10,8
102,All Species,1911.0,689.0,5.0,111,3
103,Gammaretrovirus,1911.0,16.0,4.0,8,2
104,Retroviridae,1911.0,91.0,4.0,53,2
105,Koala retrovirus,1911.0,16.0,4.0,8,2
106,Avipoxvirus ID9801,1911.0,1.0,1.0,1,1
107,Avipoxvirus,1911.0,5.0,1.0,5,1
108,Poxviridae,1911.0,460.0,1.0,7,1
109,Cotton leaf curl Multan virus,1918.0,5.0,5.0,1,1
110,Alphainfluenzavirus,1918.0,29.0,12.0,25,12
111,All Species,1918.0,706.0,17.0,124,13
112,Orthomyxoviridae,1918.0,29.0,12.0,25,12
113,Influenza A virus,1918.0,29.0,12.0,25,12
114,Begomovirus,1918.0,5.0,5.0,1,1
115,Geminiviridae,1918.0,5.0,5.0,1,1
116,Morbillivirus,1919.0,58.0,1.0,11,1
117,Measles morbillivirus,1919.0,2.0,1.0,3,1
118,All Species,1919.0,707.0,1.0,125,1
119,Paramyxoviridae,1919.0,58.0,1.0,11,1
120,All Species,1920.0,711.0,4.0,129,4
121,Nanoviridae,1920.0,1.0,1.0,1,1
122,Measles morbillivirus,1920.0,3.0,1.0,4,1
123,Nanovirus,1920.0,1.0,1.0,1,1
124,Foot-and-mouth disease virus,1920.0,3.0,2.0,3,2
125,Aphthovirus,1920.0,3.0,2.0,3,2
126,Picornaviridae,1920.0,6.0,2.0,6,2
127,Paramyxoviridae,1920.0,59.0,1.0,12,1
128,Morbillivirus,1920.0,59.0,1.0,12,1
129,Faba bean necrotic stunt virus,1920.0,1.0,1.0,1,1
130,Orthonairovirus,1921.0,1.0,1.0,1,1
131,Arteriviridae,1921.0,1.0,1.0,1,1
132,Songling virus,1921.0,1.0,1.0,1,1
133,All Species,1921.0,713.0,2.0,131,2
134,Nairoviridae,1921.0,1.0,1.0,1,1
135,Porcine reproductive and respiratory syndrome virus,1921.0,1.0,1.0,1,1
136,Hepeviridae,1922.0,1.0,1.0,1,1
137,Songling virus,1922.0,2.0,1.0,2,1
138,Orthohepevirus A,1922.0,1.0,1.0,1,1
139,Orthohepevirus,1922.0,1.0,1.0,1,1
140,All Species,1922.0,715.0,2.0,133,2
141,Nairoviridae,1922.0,2.0,1.0,2,1
142,Orthonairovirus,1922.0,2.0,1.0,2,1
143,Songling virus,1923.0,3.0,1.0,3,1
144,Nairoviridae,1923.0,3.0,1.0,3,1
145,Orthonairovirus,1923.0,3.0,1.0,3,1
146,All Species,1923.0,716.0,1.0,134,1
147,Human metapneumovirus,1924.0,1.0,1.0,1,1
148,Songling virus,1924.0,4.0,1.0,4,1
149,All Species,1924.0,719.0,3.0,137,3
150,Tomato yellow leaf curl virus,1924.0,1.0,1.0,1,1
151,Nairoviridae,1924.0,4.0,1.0,4,1
152,Geminiviridae,1924.0,6.0,1.0,2,1
153,Metapneumovirus,1924.0,1.0,1.0,1,1
154,Pneumoviridae,1924.0,1.0,1.0,1,1
155,Begomovirus,1924.0,6.0,1.0,2,1
156,Orthonairovirus,1924.0,4.0,1.0,4,1
157,Orthomyxoviridae,1925.0,41.0,12.0,33,8
158,Nairoviridae,1925.0,5.0,1.0,5,1
159,Orthonairovirus,1925.0,5.0,1.0,5,1
160,Influenza A virus,1925.0,41.0,12.0,33,8
161,Songling virus,1925.0,5.0,1.0,5,1
162,All Species,1925.0,732.0,13.0,146,9
163,Alphainfluenzavirus,1925.0,41.0,12.0,33,8
164,Nairoviridae,1926.0,6.0,1.0,6,1
165,Aphthovirus,1926.0,4.0,1.0,4,1
166,All Species,1926.0,734.0,2.0,148,2
167,Picornaviridae,1926.0,7.0,1.0,7,1
168,Songling virus,1926.0,6.0,1.0,6,1
169,Orthonairovirus,1926.0,6.0,1.0,6,1
170,Foot-and-mouth disease virus,1926.0,4.0,1.0,4,1
171,Nairoviridae,1927.0,7.0,1.0,7,1
172,Yellow fever virus,1927.0,2.0,2.0,2,2
173,All Species,1927.0,757.0,23.0,166,18
174,Orthomyxoviridae,1927.0,61.0,20.0,48,15
175,Alphainfluenzavirus,1927.0,61.0,20.0,48,15
176,Orthonairovirus,1927.0,7.0,1.0,7,1
177,Flaviviridae,1927.0,6.0,2.0,4,2
178,Songling virus,1927.0,7.0,1.0,7,1
179,Flavivirus,1927.0,2.0,2.0,2,2
180,Influenza A virus,1927.0,61.0,20.0,48,15
181,Nairoviridae,1928.0,8.0,1.0,8,1
182,African cassava mosaic virus,1928.0,0.0,0.0,2,2
183,Geminiviridae,1928.0,0.0,0.0,5,3
184,All Species,1928.0,759.0,2.0,171,5
185,Hepeviridae,1928.0,2.0,1.0,2,1
186,Orthohepevirus,1928.0,2.0,1.0,2,1
187,Orthohepevirus A,1928.0,2.0,1.0,2,1
188,Songling virus,1928.0,8.0,1.0,8,1
189,Mungbean yellow mosaic virus,1928.0,0.0,0.0,1,1
190,Begomovirus,1928.0,0.0,0.0,5,3
191,Orthonairovirus,1928.0,8.0,1.0,8,1
192,Orthonairovirus,1929.0,9.0,1.0,9,1
193,Songling virus,1929.0,9.0,1.0,9,1
194,All Species,1929.0,762.0,3.0,174,3
195,Nairoviridae,1929.0,9.0,1.0,9,1
196,Aphthovirus,1929.0,6.0,2.0,6,2
197,Foot-and-mouth disease virus,1929.0,6.0,2.0,6,2
198,Picornaviridae,1929.0,9.0,2.0,9,2
199,Retroviridae,1930.0,96.0,5.0,58,5
200,Nairoviridae,1930.0,11.0,2.0,11,2
201,Avian orthoavulavirus 1,1930.0,1.0,1.0,1,1
202,Togaviridae,1930.0,5.0,3.0,3,2
203,Lentivirus,1930.0,80.0,5.0,50,5
204,Orthoavulavirus,1930.0,1.0,1.0,1,1
205,Avipoxvirus ID8926,1930.0,1.0,1.0,1,1
206,Paramyxoviridae,1930.0,60.0,1.0,13,1
207,Orthopoxvirus,1930.0,629.0,174.0,3,1
208,Avipoxvirus,1930.0,6.0,1.0,6,1
209,All Species,1930.0,948.0,186.0,186,12
210,Songling virus,1930.0,11.0,2.0,11,2
211,Poxviridae,1930.0,635.0,175.0,9,2
212,Orthonairovirus,1930.0,11.0,2.0,11,2
213,Human immunodeficiency virus 1,1930.0,77.0,5.0,47,5
214,Alphavirus,1930.0,5.0,3.0,3,2
215,Ectromelia virus,1930.0,174.0,174.0,1,1
216,Western equine encephalitis virus,1930.0,3.0,3.0,2,2
217,Influenza A virus,1931.0,93.0,32.0,72,24
218,Alphainfluenzavirus,1931.0,93.0,32.0,72,24
219,Rabies lyssavirus,1931.0,20.0,17.0,12,9
220,West Nile virus,1931.0,2.0,2.0,2,2
221,Orthohepevirus A,1931.0,3.0,1.0,3,1
222,Rhabdoviridae,1931.0,48.0,17.0,16,9
223,Hepadnaviridae,1931.0,7.0,6.0,5,4
224,Hepeviridae,1931.0,3.0,1.0,3,1
225,Flaviviridae,1931.0,9.0,3.0,7,3
226,Flavivirus,1931.0,5.0,3.0,5,3
227,All Species,1931.0,1072.0,124.0,294,108
228,Lyssavirus,1931.0,25.0,17.0,13,9
229,Hepatitis B virus,1931.0,7.0,6.0,5,4
230,Saccharomyces paradoxus virus L-A-1939,1931.0,2.0,2.0,1,1
231,Orthomyxoviridae,1931.0,93.0,32.0,72,24
232,Orthohepadnavirus,1931.0,7.0,6.0,5,4
233,Louping ill virus,1931.0,1.0,1.0,1,1
234,Lentivirus,1931.0,142.0,62.0,115,65
235,Saccharomyces paradoxus L-A virus M28-like satellite,1931.0,1.0,1.0,1,1
236,Retroviridae,1931.0,158.0,62.0,123,65
237,Orthohepevirus,1931.0,3.0,1.0,3,1
238,Human immunodeficiency virus 1,1931.0,139.0,62.0,112,65
239,Totiviridae,1931.0,2.0,2.0,1,1
240,Cilevirus,1932.0,18.0,18.0,10,10
241,Foot-and-mouth disease virus,1932.0,7.0,1.0,7,1
242,Citrus leprosis virus C,1932.0,18.0,18.0,10,10
243,Aphthovirus,1932.0,7.0,1.0,7,1
244,All Species,1932.0,1091.0,19.0,305,11
245,Kitaviridae,1932.0,18.0,18.0,10,10
246,Picornaviridae,1932.0,10.0,1.0,10,1
247,Influenza A virus,1933.0,166.0,73.0,125,53
248,Orbivirus,1933.0,10.0,10.0,10,10
249,Saint Louis encephalitis virus,1933.0,1.0,1.0,1,1
250,African horse sickness virus,1933.0,10.0,10.0,10,10
251,Flavivirus,1933.0,6.0,1.0,6,1
252,Reoviridae,1933.0,10.0,10.0,10,10
253,Madariaga virus,1933.0,2.0,2.0,1,1
254,Flaviviridae,1933.0,10.0,1.0,8,1
255,Togaviridae,1933.0,13.0,8.0,9,6
256,Western equine encephalitis virus,1933.0,0.0,0.0,3,1
257,Alphainfluenzavirus,1933.0,166.0,73.0,125,53
258,All Species,1933.0,1183.0,92.0,375,70
259,Alphavirus,1933.0,13.0,8.0,9,6
260,Orthomyxoviridae,1933.0,166.0,73.0,125,53
261,Eastern equine encephalitis virus,1933.0,6.0,6.0,4,4
262,Foot-and-mouth disease virus,1934.0,9.0,2.0,9,2
263,All Species,1934.0,1689.0,506.0,716,341
264,Vesivirus,1934.0,3.0,3.0,1,1
265,Orthomyxoviridae,1934.0,665.0,499.0,462,337
266,Vesicular exanthema of swine virus,1934.0,3.0,3.0,1,1
267,Alphainfluenzavirus,1934.0,665.0,499.0,462,337
268,Eastern equine encephalitis virus,1934.0,8.0,2.0,5,1
269,Influenza A virus,1934.0,665.0,499.0,462,337
270,Caliciviridae,1934.0,8.0,3.0,4,1
271,Picornaviridae,1934.0,12.0,2.0,12,2
272,Alphavirus,1934.0,15.0,2.0,10,1
273,Togaviridae,1934.0,15.0,2.0,10,1
274,Aphthovirus,1934.0,9.0,2.0,9,2
275,Togaviridae,1935.0,17.0,2.0,11,1
276,Arenaviridae,1935.0,6.0,6.0,3,3
277,Mammarenavirus,1935.0,6.0,6.0,3,3
278,Japanese encephalitis virus,1935.0,4.0,4.0,4,4
279,Alphainfluenzavirus,1935.0,743.0,78.0,518,56
280,Rhabdoviridae,1935.0,50.0,2.0,18,2
281,Rabies lyssavirus,1935.0,22.0,2.0,14,2
282,Flavivirus,1935.0,10.0,4.0,10,4
283,Eastern equine encephalitis virus,1935.0,10.0,2.0,6,1
284,Alphavirus,1935.0,17.0,2.0,11,1
285,All Species,1935.0,1781.0,92.0,782,66
286,Flaviviridae,1935.0,14.0,4.0,12,4
287,Influenza A virus,1935.0,743.0,78.0,518,56
288,Lyssavirus,1935.0,27.0,2.0,15,2
289,Lymphocytic choriomeningitis mammarenavirus,1935.0,6.0,6.0,3,3
290,Orthomyxoviridae,1935.0,743.0,78.0,518,56
291,Alphainfluenzavirus,1936.0,754.0,11.0,526,8
292,Avipoxvirus ID8964,1936.0,1.0,1.0,1,1
293,Orthomyxoviridae,1936.0,754.0,11.0,526,8
294,Avipoxvirus,1936.0,7.0,1.0,7,1
295,Alphavirus,1936.0,20.0,3.0,13,2
296,Madariaga virus,1936.0,4.0,2.0,2,1
297,African horse sickness virus,1936.0,20.0,10.0,20,10
298,Togaviridae,1936.0,20.0,3.0,13,2
299,Poxviridae,1936.0,636.0,1.0,10,1
300,All Species,1936.0,1806.0,25.0,803,21
301,Orbivirus,1936.0,20.0,10.0,20,10
302,Influenza A virus,1936.0,754.0,11.0,526,8
303,Eastern equine encephalitis virus,1936.0,11.0,1.0,7,1
304,Reoviridae,1936.0,20.0,10.0,20,10
305,Bwamba orthobunyavirus,1937.0,10.0,10.0,7,7
306,Peribunyaviridae,1937.0,20.0,10.0,16,7
307,Herpesviridae,1937.0,20.0,20.0,20,20
308,Citrus leprosis virus C,1937.0,36.0,18.0,16,6
309,Bluetongue virus,1937.0,21.0,21.0,20,20
310,Flavivirus,1937.0,15.0,5.0,15,5
311,Orbivirus,1937.0,41.0,21.0,40,20
312,Flaviviridae,1937.0,19.0,5.0,17,5
313,Cilevirus,1937.0,36.0,18.0,16,6
314,Kitaviridae,1937.0,36.0,18.0,16,6
315,Orthobunyavirus,1937.0,16.0,10.0,13,7
316,Simplexvirus,1937.0,20.0,20.0,20,20
317,All Species,1937.0,1880.0,74.0,861,58
318,Tick-borne encephalitis virus,1937.0,5.0,5.0,5,5
319,Human alphaherpesvirus 1,1937.0,20.0,20.0,20,20
320,Reoviridae,1937.0,41.0,21.0,40,20
321,Eastern equine encephalitis virus,1938.0,12.0,1.0,8,1
322,Western equine encephalitis virus,1938.0,5.0,2.0,4,1
323,Koala retrovirus,1938.0,19.0,3.0,9,1
324,Venezuelan equine encephalitis virus,1938.0,4.0,2.0,2,1
325,Reoviridae,1938.0,51.0,10.0,50,10
326,Togaviridae,1938.0,25.0,5.0,16,3
327,Alphavirus,1938.0,25.0,5.0,16,3
328,All Species,1938.0,1951.0,71.0,927,66
329,Gammaretrovirus,1938.0,19.0,3.0,9,1
330,Orbivirus,1938.0,51.0,10.0,50,10
331,African horse sickness virus,1938.0,30.0,10.0,30,10
332,Human alphaherpesvirus 1,1938.0,71.0,51.0,71,51
333,Retroviridae,1938.0,161.0,3.0,124,1
334,Potyvirus,1938.0,2.0,2.0,1,1
335,Herpesviridae,1938.0,71.0,51.0,71,51
336,Simplexvirus,1938.0,71.0,51.0,71,51
337,Potato virus Y,1938.0,2.0,2.0,1,1
338,Potyviridae,1938.0,2.0,2.0,1,1
339,Rabies lyssavirus,1939.0,25.0,3.0,17,3
340,Rhabdoviridae,1939.0,53.0,3.0,21,3
341,Flavivirus,1939.0,17.0,2.0,17,2
342,All Species,1939.0,1965.0,14.0,937,10
343,Cilevirus,1939.0,45.0,9.0,21,5
344,Flaviviridae,1939.0,21.0,2.0,19,2
345,Lyssavirus,1939.0,30.0,3.0,18,3
346,Kitaviridae,1939.0,45.0,9.0,21,5
347,Citrus leprosis virus C,1939.0,45.0,9.0,21,5
348,Japanese encephalitis virus,1939.0,6.0,2.0,6,2
349,Wyeomyia orthobunyavirus,1940.0,9.0,9.0,9,9
350,Orthomyxoviridae,1940.0,788.0,34.0,550,24
351,Geminiviridae,1940.0,12.0,6.0,6,1
352,Alphainfluenzavirus,1940.0,777.0,23.0,542,16
353,Peribunyaviridae,1940.0,35.0,15.0,31,15
354,Anopheles B orthobunyavirus,1940.0,3.0,3.0,3,3
355,Potexvirus,1940.0,5.0,5.0,1,1
356,All Species,1940.0,2037.0,72.0,989,52
357,Reoviridae,1940.0,61.0,10.0,60,10
358,African horse sickness virus,1940.0,40.0,10.0,40,10
359,Influenza A virus,1940.0,777.0,23.0,542,16
360,Potato virus X,1940.0,5.0,5.0,1,1
361,Orthobunyavirus,1940.0,31.0,15.0,28,15
362,Grapevine red blotch virus,1940.0,6.0,6.0,1,1
363,Tombusviridae,1940.0,2.0,2.0,1,1
364,Orbivirus,1940.0,61.0,10.0,60,10
365,Influenza B virus,1940.0,11.0,11.0,8,8
366,Anopheles A orthobunyavirus,1940.0,6.0,3.0,6,3
367,Barley yellow dwarf virus PAV,1940.0,2.0,2.0,1,1
368,Betainfluenzavirus,1940.0,11.0,11.0,8,8
369,Alphaflexiviridae,1940.0,5.0,5.0,1,1
370,Grablovirus,1940.0,6.0,6.0,1,1
371,Luteovirus,1940.0,2.0,2.0,1,1
372,Western equine encephalitis virus,1941.0,10.0,5.0,8,4
373,Togaviridae,1941.0,30.0,5.0,20,4
374,Tick-borne encephalitis virus,1941.0,8.0,3.0,8,3
375,Varicellovirus,1941.0,1.0,1.0,1,1
376,Kitaviridae,1941.0,51.0,6.0,23,2
377,Citrus leprosis virus C,1941.0,51.0,6.0,23,2
378,Gammacoronavirus,1941.0,22.0,22.0,2,2
379,Alphavirus,1941.0,30.0,5.0,20,4
380,Flavivirus,1941.0,21.0,4.0,21,4
381,Cilevirus,1941.0,51.0,6.0,23,2
382,Equid alphaherpesvirus 1,1941.0,1.0,1.0,1,1
383,Coronaviridae,1941.0,22.0,22.0,2,2
384,Bluetongue virus,1941.0,53.0,32.0,52,32
385,Herpesviridae,1941.0,72.0,1.0,72,1
386,Reoviridae,1941.0,93.0,32.0,92,32
387,Flaviviridae,1941.0,25.0,4.0,23,4
388,Avian coronavirus,1941.0,22.0,22.0,2,2
389,Orbivirus,1941.0,93.0,32.0,92,32
390,All Species,1941.0,2107.0,70.0,1034,45
391,Yellow fever virus,1941.0,3.0,1.0,3,1
392,Enterovirus,1942.0,4.0,1.0,4,1
393,Flaviviridae,1942.0,28.0,3.0,26,3
394,Picornaviridae,1942.0,14.0,2.0,14,2
395,Reoviridae,1942.0,125.0,32.0,122,30
396,Venezuelan equine encephalitis virus,1942.0,0.0,0.0,3,1
397,Alphavirus,1942.0,33.0,3.0,22,2
398,Cardiovirus,1942.0,1.0,1.0,1,1
399,Togaviridae,1942.0,33.0,3.0,22,2
400,Cardiovirus A,1942.0,1.0,1.0,1,1
401,All Species,1942.0,2183.0,76.0,1097,63
402,Influenza A virus,1942.0,813.0,36.0,568,26
403,Flavivirus,1942.0,24.0,3.0,24,3
404,Enterovirus C,1942.0,3.0,1.0,3,1
405,Orthomyxoviridae,1942.0,824.0,36.0,576,26
406,Alphainfluenzavirus,1942.0,813.0,36.0,568,26
407,Semliki Forest virus,1942.0,3.0,3.0,1,1
408,Bluetongue virus,1942.0,85.0,32.0,82,30
409,Tick-borne encephalitis virus,1942.0,11.0,3.0,11,3
410,Orbivirus,1942.0,125.0,32.0,122,30
411,All Species,1943.0,2265.0,82.0,1158,61
412,Potato virus Y,1943.0,6.0,4.0,5,4
413,Bluetongue virus,1943.0,96.0,11.0,92,10
414,Picornaviridae,1943.0,15.0,1.0,15,1
415,Foot-and-mouth disease virus,1943.0,10.0,1.0,10,1
416,Caulimovirus,1943.0,7.0,7.0,1,1
417,California encephalitis orthobunyavirus,1943.0,8.0,8.0,6,6
418,Peribunyaviridae,1943.0,43.0,8.0,37,6
419,Reoviridae,1943.0,136.0,11.0,132,10
420,Orbivirus,1943.0,136.0,11.0,132,10
421,Alphainfluenzavirus,1943.0,857.0,44.0,600,32
422,Tick-borne encephalitis virus,1943.0,16.0,5.0,16,5
423,Japanese encephalitis virus,1943.0,7.0,1.0,7,1
424,Orthomyxoviridae,1943.0,868.0,44.0,608,32
425,Influenza A virus,1943.0,857.0,44.0,600,32
426,Aphthovirus,1943.0,10.0,1.0,10,1
427,Orthobunyavirus,1943.0,39.0,8.0,34,6
428,Potyviridae,1943.0,6.0,4.0,5,4
429,Flaviviridae,1943.0,35.0,7.0,33,7
430,Potyvirus,1943.0,6.0,4.0,5,4
431,Ntaya virus,1943.0,1.0,1.0,1,1
432,Cauliflower mosaic virus,1943.0,7.0,7.0,1,1
433,Flavivirus,1943.0,31.0,7.0,31,7
434,Caulimoviridae,1943.0,7.0,7.0,1,1
435,Foot-and-mouth disease virus,1944.0,12.0,2.0,12,2
436,All Species,1944.0,2301.0,36.0,1191,33
437,Cardiovirus,1944.0,2.0,1.0,2,1
438,Flavivirus,1944.0,39.0,8.0,39,8
439,Orbivirus,1944.0,146.0,10.0,142,10
440,Avian orthoavulavirus 1,1944.0,3.0,2.0,3,2
441,Reoviridae,1944.0,146.0,10.0,142,10
442,Picornaviridae,1944.0,18.0,3.0,18,3
443,Phlebovirus,1944.0,9.0,9.0,7,7
444,Aphthovirus,1944.0,12.0,2.0,12,2
445,Bluetongue virus,1944.0,106.0,10.0,102,10
446,Orthoavulavirus,1944.0,3.0,2.0,3,2
447,Naples virus,1944.0,4.0,4.0,3,3
448,Dengue virus,1944.0,8.0,8.0,8,8
449,Rift Valley fever phlebovirus,1944.0,9.0,9.0,7,7
450,Phenuiviridae,1944.0,9.0,9.0,7,7
451,Cardiovirus A,1944.0,2.0,1.0,2,1
452,Paramyxoviridae,1944.0,62.0,2.0,15,2
453,Flaviviridae,1944.0,43.0,8.0,41,8
454,Secoviridae,1945.0,2.0,2.0,2,2
455,Fabavirus,1945.0,2.0,2.0,2,2
456,Alphainfluenzavirus,1945.0,868.0,11.0,608,8
457,Broad bean wilt virus 1,1945.0,2.0,2.0,2,2
458,Orthomyxoviridae,1945.0,879.0,11.0,616,8
459,All Species,1945.0,2315.0,14.0,1202,11
460,Influenza A virus,1945.0,868.0,11.0,608,8
461,Avian orthoavulavirus 1,1945.0,4.0,1.0,4,1
462,Paramyxoviridae,1945.0,63.0,1.0,16,1
463,Orthoavulavirus,1945.0,4.0,1.0,4,1
464,Togaviridae,1946.0,36.0,3.0,24,2
465,Orthomyxoviridae,1946.0,915.0,36.0,641,25
466,Yellow fever virus,1946.0,4.0,1.0,4,1
467,Orthopoxvirus,1946.0,631.0,2.0,5,2
468,Poxviridae,1946.0,666.0,30.0,40,30
469,Alphavirus,1946.0,36.0,3.0,24,2
470,Orthoavulavirus,1946.0,16.0,12.0,10,6
471,Flaviviridae,1946.0,46.0,3.0,44,3
472,Western equine encephalitis virus,1946.0,13.0,3.0,10,2
473,Flavivirus,1946.0,42.0,3.0,42,3
474,Alphainfluenzavirus,1946.0,904.0,36.0,633,25
475,Influenza A virus,1946.0,904.0,36.0,633,25
476,Capripoxvirus,1946.0,28.0,28.0,28,28
477,Avian orthoavulavirus 1,1946.0,16.0,12.0,10,6
478,Goatpox virus,1946.0,28.0,28.0,28,28
479,Japanese encephalitis virus,1946.0,9.0,2.0,9,2
480,All Species,1946.0,2399.0,84.0,1268,66
481,Paramyxoviridae,1946.0,75.0,12.0,22,6
482,Variola virus,1946.0,2.0,2.0,2,2
483,Orthoavulavirus,1947.0,19.0,3.0,13,3
484,Zika virus,1947.0,10.0,10.0,15,15
485,Gammainfluenzavirus,1947.0,7.0,7.0,6,6
486,Apis mellifera filamentous virus,1947.0,1.0,1.0,1,1
487,Betacoronavirus,1947.0,19.0,19.0,2,2
488,Lymphocytic choriomeningitis mammarenavirus,1947.0,10.0,4.0,5,2
489,Orthomyxoviridae,1947.0,968.0,53.0,680,39
490,Influenza C virus,1947.0,7.0,7.0,6,6
491,Variola virus,1947.0,5.0,3.0,5,3
492,Lentivirus,1947.0,143.0,1.0,116,1
493,Aphthovirus,1947.0,14.0,2.0,14,2
494,Japanese encephalitis virus,1947.0,11.0,2.0,11,2
