,Taxonomy,Country,Cumulative_Count,Count
57,Acanthamoeba polyphaga mimivirus,India,8811,898
58,Acanthamoeba polyphaga mimivirus,United Kingdom,8812,1
59,Acanthis flammea CRESS-DNA-virus sp.,China,1,1
60,Acanthocystis turfacea chlorella virus 1,Germany,1720,1720
61,Acanthurus bariene nervous necrosis virus,Taiwan,1,1
62,Acanthurus dussumieri iridovirus,Taiwan,1,1
63,Acara orthobunyavirus,Brazil,3,3
64,Acara orthobunyavirus,Trinidad and Tobago,6,3
65,Acartia tonsa copepod circovirus,USA,4,4
66,Acaryochloris phage A-HIS1,Australia,95,95
67,Acaryochloris phage A-HIS2,Australia,104,104
68,Accipiter gentilis Genomoviridae sp.,China,2,2
69,Accipiter gentilis ambidensovirus,China,4,4
70,Accipiter gentilis parvo-like hybrid virus,China,2,2
71,Accipiter gentilis parvoviridae sp.,China,1,1
72,Acerodon celebensis polyomavirus 1,Indonesia,8,8
73,Acerodon celebensis polyomavirus 2,Indonesia,8,8
74,Acetes erythraeus iridovirus,Madagascar,1,1
75,Achaea janata granulovirus,India,6,6
76,Acheta domesticus Iflavirus,Sweden,2,2
77,Acheta domesticus virus,USA,1,1
78,Acheta domesticus volvovirus,Canada,4,4
79,Acheta domesticus volvovirus,Japan,12,8
80,Acheta domesticus volvovirus,Thailand,17,5
81,Acheta domesticus volvovirus,USA,21,4
82,Achimota pararubulavirus 1,Ghana,16,16
83,Achimota pararubulavirus 2,Ghana,16,16
84,Achimota pararubulavirus 3,Ghana,8,8
85,Achlievirus,USA,3,3
86,Achlievirus humihabitans,USA,3,3
87,Achromobacter phage AMA1,Australia,62,62
88,Achromobacter phage AMA2,Australia,68,68
89,Achromobacter phage JWDelta,Germany,89,89
90,Achromobacter phage JWF,Germany,236,236
91,Achromobacter phage Mano,USA,128,128
92,Achromobacter phage phiAxp-1,China,128,128
93,Achromobacter phage vB_AchrS_AchV4,Lithuania,164,164
94,Achromobacter phage vB_Ade_ART,Switzerland,127,127
95,Achromobacter phage vB_AxyP_19-32_Axy09,Cote d'Ivoire,49,49
96,Achromobacter phage vB_AxyP_19-32_Axy13,Cote d'Ivoire,71,71
97,Achromobacter phage vB_AxyP_19-32_Axy21,Cote d'Ivoire,49,49
98,Achromobacter phage vB_AxyP_19-32_Axy22,Cote d'Ivoire,78,78
99,Achromobacter phage vB_AxyP_19-32_Axy23,Cote d'Ivoire,50,50
100,Achromobacter phage vB_AxyS_19-32_Axy06,Cote d'Ivoire,55,55
101,Achromobacter phage vB_AxyS_19-32_Axy14,Cote d'Ivoire,60,60
102,Achromobacter phage vB_AxyS_19-32_Axy16,Cote d'Ivoire,58,58
103,Achromobacter phage vB_AxyS_19-32_Axy18,Cote d'Ivoire,64,64
104,Achromobacter phage vB_AxyS_19-32_Axy19,Cote d'Ivoire,65,65
105,Achromobacter phage vB_AxyS_19-32_Axy20,Cote d'Ivoire,66,66
106,Achromobacter virus 83-24,France,122,122
107,Achromobacter virus Axy04,Cote d'Ivoire,160,160
108,Achromobacter virus Axy10,Cote d'Ivoire,166,166
109,Achromobacter virus Axy11,Cote d'Ivoire,162,162
110,Achromobacter virus Axy12,Cote d'Ivoire,164,164
111,Achromobacter virus Axy24,Cote d'Ivoire,164,164
112,Achromobacter virus JWAlpha,Germany,182,182
113,Achromobacter virus JWX,Germany,134,134
114,Achromobacter virus Motura,USA,688,688
115,Achyranthes bidentata mosaic virus,China,2,2
116,Achyranthes virus A,South Korea,1,1
117,Acidianus filamentous virus 2,Italy,104,104
118,Acidianus spindle-shaped virus 1,USA,76,76
119,Acidianus tailed spindle virus,USA,190,190
120,Acidianus two-tailed virus,Italy,144,144
121,Acidianus two-tailed virus 2,Italy,63,63
122,Acidianus two-tailed virus variant 1,Italy,66,66
123,Acidomyces richmondensis tobamo-like virus 1,USA,4,4
124,Acidovorax phage ACF1,Serbia,89,89
125,Acinetobacter phage 5W,China,61,61
126,Acinetobacter phage AB-Navy1,USA,247,247
127,Acinetobacter phage AB-Navy97,USA,244,244
128,Acinetobacter phage ABP-01,Thailand,1,1
129,Acinetobacter phage ABP-04,Thailand,1,1
130,Acinetobacter phage ABPH49,China,243,243
131,Acinetobacter phage AIIMS-AbE5-RC,India,55,55
132,Acinetobacter phage AJO2,China,25,25
133,Acinetobacter phage AM106,Russia,70,70
134,Acinetobacter phage APK09,Russia,56,56
135,Acinetobacter phage APK127v,Russia,53,53
136,Acinetobacter phage APK15,Russia,54,54
137,Acinetobacter phage APK16,Russia,54,54
138,Acinetobacter phage APK20,Russia,58,58
139,Acinetobacter phage APK37,Russia,56,56
140,Acinetobacter phage APK77,Russia,57,57
141,Acinetobacter phage APK86,Russia,56,56
142,Acinetobacter phage Ab105-2phideltaCI404ad,Spain,82,82
143,Acinetobacter phage Ab11510-phi,Mexico,76,76
144,Acinetobacter phage Ab124,China,47,47
145,Acinetobacter phage AbTJ,China,62,62
146,Acinetobacter phage AbTP3phi1,USA,56,56
147,Acinetobacter phage Ab_121,China,159,159
148,Acinetobacter phage Ab_SZ3,China,56,56
149,Acinetobacter phage Abp9,China,81,81
150,Acinetobacter phage Abp95,China,57,57
151,Acinetobacter phage AbpL,China,53,53
152,Acinetobacter phage Abraxas,Russia,249,249
153,Acinetobacter phage Arbor,China,83,83
154,Acinetobacter phage Aristophanes,Russia,46,46
155,Acinetobacter phage BS46,United Kingdom,176,176
156,Acinetobacter phage Barton,USA,61,61
157,Acinetobacter phage Bestia,Russia,162,162
158,Acinetobacter phage Brutus,Russia,86,86
159,Acinetobacter phage Cato,Russia,85,85
160,Acinetobacter phage DMU1,USA,59,59
161,Acinetobacter phage Effie,USA,80,80
162,Acinetobacter phage Henu6,China,234,234
163,Acinetobacter phage Herod,Russia,168,168
164,Acinetobacter phage JeffCo,USA,56,56
165,Acinetobacter phage Liucustia,Russia,157,157
166,Acinetobacter phage MRABP9,China,46,46
167,Acinetobacter phage Maestro,USA,264,264
168,Acinetobacter phage Melin,USA,252,252
169,Acinetobacter phage Meroveus,Russia,248,248
170,Acinetobacter phage Minot,USA,248,248
171,Acinetobacter phage Mithridates,Russia,178,178
172,Acinetobacter phage Mokit,USA,250,250
173,Acinetobacter phage Morttis,USA,259,259
174,Acinetobacter phage Octan,Russia,247,247
175,Acinetobacter phage Paty,USA,55,55
176,Acinetobacter phage PhaR5,China,244,244
177,Acinetobacter phage Phab24,China,171,171
178,Acinetobacter phage Pipo,USA,58,58
179,Acinetobacter phage RL-2015,Iraq,4,4
180,Acinetobacter phage SH-Ab 15599,China,177,177
181,Acinetobacter phage Scipio,Russia,81,81
182,Acinetobacter phage Stupor,Russia,245,245
183,Acinetobacter phage TAC1,Pakistan,163,163
184,Acinetobacter phage TaPaz,Russia,178,178
185,Acinetobacter phage VB_ApiP_XC38,China,194,194
186,Acinetobacter phage YC#06,China,68,68
187,Acinetobacter phage YMC11/12/R1215,South Korea,85,85
188,Acinetobacter phage YMC11/12/R2315,South Korea,170,170
189,Acinetobacter phage YMC13/03/R2096,South Korea,324,324
190,Acinetobacter phage ZaA-2018a,Iraq,1,1
191,Acinetobacter phage ZaA-2018b,Iraq,1,1
192,Acinetobacter phage phiAB182,India,1,1
193,Acinetobacter phage phiAB2,Taiwan,6,6
194,Acinetobacter phage phiAC-1,South Korea,164,164
195,Acinetobacter phage vB_Ab4_Hep4,China,55,55
196,Acinetobacter phage vB_AbaM_BP10,China,88,88
197,Acinetobacter phage vB_AbaM_CP14,China,169,169
198,Acinetobacter phage vB_AbaM_DP45,China,245,245
199,Acinetobacter phage vB_AbaM_IME285,China,85,85
200,Acinetobacter phage vB_AbaM_P1,China,169,169
201,Acinetobacter phage vB_AbaP_ABWU2101,Thailand,57,57
202,Acinetobacter phage vB_AbaP_APK116,Russia,49,49
203,Acinetobacter phage vB_AbaP_APK128,Russia,52,52
204,Acinetobacter phage vB_AbaP_APK14,Russia,55,55
205,Acinetobacter phage vB_AbaP_APK2,Russia,50,50
206,Acinetobacter phage vB_AbaP_APK2-2,Russia,50,50
207,Acinetobacter phage vB_AbaP_APK26,Russia,54,54
208,Acinetobacter phage vB_AbaP_APK32,Russia,52,52
209,Acinetobacter phage vB_AbaP_APK37,Russia,51,51
210,Acinetobacter phage vB_AbaP_APK44,Russia,50,50
211,Acinetobacter phage vB_AbaP_APK48,Russia,49,49
212,Acinetobacter phage vB_AbaP_APK48-3,Russia,54,54
213,Acinetobacter phage vB_AbaP_APK81,Russia,55,55
214,Acinetobacter phage vB_AbaP_APK87,Russia,54,54
215,Acinetobacter phage vB_AbaP_APK89,Russia,52,52
216,Acinetobacter phage vB_AbaP_APK93,Russia,50,50
217,Acinetobacter phage vB_AbaP_Alexa,Russia,58,58
218,Acinetobacter phage vB_AbaP_CEB1,Portugal,1,1
219,Acinetobacter phage vB_AbaP_HB01,Turkey,174,174
220,Acinetobacter phage vB_AbaP_IME546,China,101,101
221,Acinetobacter phage vB_AbaP_PMK34,Egypt,50,50
222,Acinetobacter phage vB_AbaP_WU2001,Thailand,47,47
223,Acinetobacter phage vB_AbaP_ZHSHW,China,51,51
224,Acinetobacter phage vB_phiAcib_BQ1,Iraq,1,1
225,Acinetobacter phage vB_phiAcib_BQ2,Iraq,1,1
226,Acinetobacter phage vB_phiAcib_BQ4,Iraq,1,1
227,Acinetobacter virus AB2,China,164,164
228,Acinetobacter virus AM101,Russia,500,500
229,Acinetobacter virus AP22,Iraq,4,4
230,Acinetobacter virus AS11,Russia,102,102
231,Acinetobacter virus AS12,Russia,98,98
232,Acinetobacter virus AbC62,South Korea,168,168
233,Acinetobacter virus Aci01-1,Cote d'Ivoire,326,326
234,Acinetobacter virus Aci02-2,Cote d'Ivoire,342,342
235,Acinetobacter virus Aci05,Cote d'Ivoire,320,320
236,Acinetobacter virus Aci07,Cote d'Ivoire,104,104
237,Acinetobacter virus Aci08,Cote d'Ivoire,106,106
238,Acinetobacter virus Apostate,Russia,488,488
239,Acinetobacter virus B1,Portugal,102,102
240,Acinetobacter virus B1251,South Korea,124,124
241,Acinetobacter virus B3,Portugal,98,98
242,Acinetobacter virus B5,Portugal,106,106
243,Acinetobacter virus Berthold,Russia,500,500
244,Acinetobacter virus Fri1,Switzerland,108,108
245,Acinetobacter virus IME200,China,108,108
246,Acinetobacter virus IMEAB3,China,114,114
247,Acinetobacter virus KARL1,Germany,506,506
248,Acinetobacter virus Kimel,Russia,504,504
249,Acinetobacter virus Konradin,Russia,498,498
250,Acinetobacter virus LZ35,China,166,166
251,Acinetobacter virus Lazarus,Russia,494,494
252,Acinetobacter virus Loki,United Kingdom,102,102
253,Acinetobacter virus ME3,Ireland,652,652
254,Acinetobacter virus P1,Portugal,98,98
255,Acinetobacter virus P2,Portugal,108,108
256,Acinetobacter virus PhT2,Thailand,492,492
257,Acinetobacter virus R3177,South Korea,160,160
258,Acinetobacter virus WCHABP1,China,178,178
259,Acinetobacter virus WCHABP12,China,176,176
260,Acinetobacter virus WCHABP5,China,94,94
261,Acinetobacter virus ZZ1,China,512,512
262,Acinetobacter virus phiAB6,Taiwan,90,90
263,Acinetobacter virus vB_AbaP_AGC01,Poland,54,54
264,Acinonyx jubatus papillomavirus type 1,Namibia,70,70
265,Acinopterus angulatus reovirus,USA,1,1
266,Acionnavirus,Pacific Ocean,259,259
267,Acionnavirus,USA,1105,846
268,Acipenser iridovirus-European,France,8,8
269,Acipenser iridovirus-European,Italy,11,3
270,Acipenser iridovirus-European,Poland,17,6
271,Acipenser iridovirus-European,Sweden,18,1
272,Acipenser iridovirus-European,Ukraine,19,1
273,Acipenserid herpesvirus 1,Italy,2,2
274,Acipenserid herpesvirus 1,USA,17,15
275,Acipenserid herpesvirus 2,Canada,1,1
276,Acipenserid herpesvirus 2,Russia,17,16
277,Acipenserid herpesvirus 2,USA,115,98
278,Acipenserid herpesvirus isolate Canada,Canada,1,1
279,Ackermannviridae,Argentina,1558,1558
280,Ackermannviridae,Bangladesh,1972,414
281,Ackermannviridae,Belarus,2262,290
282,Ackermannviridae,Belgium,3447,1185
283,Ackermannviridae,Brazil,4044,597
284,Ackermannviridae,Canada,5675,1631
285,Ackermannviridae,China,8675,3000
286,Ackermannviridae,Czech Republic,8881,206
287,Ackermannviridae,Denmark,10098,1217
288,Ackermannviridae,Ecuador,10700,602
289,Ackermannviridae,Egypt,10847,147
290,Ackermannviridae,Georgia,11296,449
291,Ackermannviridae,Germany,11740,444
292,Ackermannviridae,Ghana,11932,192
293,Ackermannviridae,India,13398,1466
294,Ackermannviridae,Japan,13607,209
295,Ackermannviridae,Kenya,13979,372
296,Ackermannviridae,Korea,14821,842
297,Ackermannviridae,Mexico,15077,256
298,Ackermannviridae,Poland,16183,1106
299,Ackermannviridae,Russia,16783,600
300,Ackermannviridae,South Korea,17423,640
301,Ackermannviridae,Spain,18615,1192
302,Ackermannviridae,Switzerland,18965,350
303,Ackermannviridae,Thailand,19160,195
304,Ackermannviridae,USA,26773,7613
305,Ackermannviridae,United Kingdom,28372,1599
306,Ackermannviridae,Viet Nam,28810,438
307,Ackermannviridae sp.,USA,2357,2357
308,Ackermannviridae sp. ctClB2,USA,40,40
309,Ackermannviridae sp. ctQad106,USA,75,75
310,Ackermannviridae sp. ctaCq7,USA,93,93
311,Aconite virus A,China,6,6
312,Aconitum latent virus,Japan,12,12
313,Acremonium magoulivirus,China,2,2
314,Acremonium magoulivirus,Italy,3,1
315,Acrididae reovirus,China,9,9
316,Acropoma japonicum iridovirus,Taiwan,1,1
317,Acropoma japonicum nervous necrosis virus,Taiwan,1,1
318,Acropora pruinosa phage,China,1,1
319,Actias selene nucleopolyhedrovirus,United Kingdom,2,2
320,Actinidia chlorotic ringspot-associated emaravirus,China,66,66
321,Actinidia cytorhabdovirus JS27,China,7,7
322,Actinidia emaravirus 2,China,12,12
323,Actinidia seed borne latent virus,China,6,6
324,Actinidia seed borne latent virus,New Zealand,14,8
325,Actinidia seed borne latent virus,South Korea,18,4
326,Actinidia seed-borne latent like virus,China,4,4
327,Actinidia virus 1,China,165,165
328,Actinidia virus 1,Italy,189,24
329,Actinidia virus A,China,75,75
330,Actinidia virus A,New Zealand,85,10
331,Actinidia virus A,South Korea,91,6
332,Actinidia virus B,China,51,51
333,Actinidia virus B,New Zealand,61,10
334,Actinidia virus B,South Korea,62,1
335,Actinidia virus C,China,26,26
336,Actinidia virus X,Belgium,6,6
337,Actinidia virus X,Canada,18,12
338,Actinidia virus X,Ethiopia,23,5
339,Actinidia virus X,Netherlands,30,7
340,Actinidia virus X,New Zealand,35,5
341,Actinidia virus X,United Kingdom,55,20
342,Actinidia yellowing ringspot virus,China,4,4
343,Actinidia yellowing ringspot virus,South Korea,28,24
344,Actinidia yellowing virus 1,China,1,1
345,Actinidia yellowing virus 2,China,5,5
346,Actinoplanes phage phiAsp2,Germany,76,76
347,Actinovirus,China,12,12
348,Actinovirus,Switzerland,22,10
349,Acute bee paralysis virus,Argentina,1,1
350,Acute bee paralysis virus,Benin,4,3
351,Acute bee paralysis virus,Brazil,11,7
352,Acute bee paralysis virus,Bulgaria,13,2
353,Acute bee paralysis virus,Canada,14,1
354,Acute bee paralysis virus,Chile,15,1
355,Acute bee paralysis virus,China,63,48
356,Acute bee paralysis virus,Costa Rica,64,1
357,Acute bee paralysis virus,Czech Republic,68,4
358,Acute bee paralysis virus,Denmark,69,1
359,Acute bee paralysis virus,France,74,5
360,Acute bee paralysis virus,Iran,77,3
361,Acute bee paralysis virus,Italy,108,31
362,Acute bee paralysis virus,Morocco,109,1
363,Acute bee paralysis virus,Myanmar,111,2
364,Acute bee paralysis virus,Russia,112,1
365,Acute bee paralysis virus,Serbia,113,1
366,Acute bee paralysis virus,Slovenia,173,60
367,Acute bee paralysis virus,Switzerland,174,1
368,Acute bee paralysis virus,Syria,178,4
369,Acute bee paralysis virus,Thailand,203,25
370,Acute bee paralysis virus,Turkey,210,7
371,Acute bee paralysis virus,Ukraine,212,2
372,Acute bee paralysis virus,United Kingdom,243,31
373,Acute bee paralysis virus,Uruguay,244,1
374,Acute bee paralysis virus,Viet Nam,245,1
375,Acute bee paralysis virus,Zimbabwe,247,2
376,Acyrthosiphon pisum virus,China,4,4
377,Acyrthosiphon pisum virus,Denmark,6,2
378,Acyrthosiphon pisum virus,USA,16,10
379,Acyrthosiphon pisum virus,United Kingdom,18,2
380,Adagum virus,Russia,1,1
381,Adahivirus,USA,4,4
382,Adahivirus asienecus,USA,4,4
383,Adahmuvirus,Japan,3,3
384,Adahmuvirus asiocola,Japan,3,3
385,Adana phlebovirus,Turkey,8,8
386,Adelaide River ephemerovirus,Australia,19,19
387,Adelphocoris suturalis virus,China,10,10
388,Adeno-Associated Virus Clade A,Bangladesh,33,33
389,Adeno-Associated Virus Clade C,Bangladesh,2,2
390,Adeno-Associated Virus Clade D,Bangladesh,2,2
391,Adeno-Associated Virus PREDICT_AaV-10,Bangladesh,3,3
392,Adeno-Associated Virus PREDICT_AaV-11,Bangladesh,6,6
393,Adeno-Associated Virus PREDICT_AaV-5,Bangladesh,1,1
394,Adeno-Associated Virus PREDICT_AaV-6,Bangladesh,2,2
395,Adeno-Associated Virus PREDICT_AaV-7,Bangladesh,2,2
396,Adeno-Associated Virus PREDICT_AaV-8,Bangladesh,4,4
397,Adeno-Associated Virus PREDICT_AaV-9,Bangladesh,1,1
398,Adeno-Associated Virus rh.8,Bangladesh,32,32
399,Adeno-associated dependoparvovirus A,Iran,78,78
400,Adeno-associated dependoparvovirus A,Tanzania,102,24
401,Adeno-associated dependoparvovirus A,USA,107,5
402,Adeno-associated dependoparvovirus A,United Kingdom,275,168
403,Adeno-associated dependoparvovirus B,China,2,2
404,Adeno-associated dependoparvovirus B,USA,4,2
405,Adeno-associated virus,Australia,17,17
406,Adeno-associated virus,Canada,42,25
407,Adeno-associated virus,China,56,14
408,Adeno-associated virus,France,555,499
409,Adeno-associated virus,India,583,28
410,Adeno-associated virus,Pakistan,585,2
411,Adeno-associated virus,USA,764,179
412,Adeno-associated virus,Ukraine,770,6
413,Adeno-associated virus - Po1,Canada,4,4
414,Adeno-associated virus - Po2,Canada,1,1
415,Adeno-associated virus - Po3,Canada,1,1
416,Adeno-associated virus Croatia cul1_12,Croatia,2,2
417,Adeno-associated virus VR-195,USA,2,2
418,Adeno-associated virus VR-355,USA,2,2
419,Adenoviridae,Antarctica,178,178
420,Adenoviridae,Argentina,771,593
421,Adenoviridae,Armenia,779,8
422,Adenoviridae,Australia,1453,674
423,Adenoviridae,Austria,1803,350
424,Adenoviridae,Azerbaijan,1807,4
425,Adenoviridae,Bahamas,1812,5
426,Adenoviridae,Bangladesh,2168,356
427,Adenoviridae,Belarus,2175,7
428,Adenoviridae,Belgium,2292,117
429,Adenoviridae,Brazil,3845,1553
430,Adenoviridae,Burkina Faso,3854,9
431,Adenoviridae,Cameroon,4164,310
432,Adenoviridae,Canada,6753,2589
433,Adenoviridae,Cayman Islands,6756,3
434,Adenoviridae,Central African Republic,6763,7
435,Adenoviridae,Chile,6767,4
436,Adenoviridae,China,31044,24277
437,Adenoviridae,Cote d'Ivoire,31131,87
438,Adenoviridae,Croatia,31134,3
439,Adenoviridae,Cuba,31191,57
440,Adenoviridae,Czech Republic,31361,170
441,Adenoviridae,Democratic Republic of the Congo,31635,274
442,Adenoviridae,Denmark,31829,194
443,Adenoviridae,Dominican Republic,31847,18
444,Adenoviridae,Ecuador,31855,8
445,Adenoviridae,Egypt,32503,648
446,Adenoviridae,El Salvador,32543,40
447,Adenoviridae,Ethiopia,32575,32
448,Adenoviridae,Faroe Islands,32576,1
449,Adenoviridae,Fiji,32579,3
450,Adenoviridae,Finland,32614,35
451,Adenoviridae,France,33480,866
452,Adenoviridae,French Guiana,33481,1
453,Adenoviridae,Gabon,33706,225
454,Adenoviridae,Germany,42407,8701
455,Adenoviridae,Ghana,42414,7
456,Adenoviridae,Greece,42452,38
457,Adenoviridae,Greenland,42458,6
458,Adenoviridae,Guatemala,42472,14
459,Adenoviridae,Haiti,42517,45
460,Adenoviridae,Honduras,42556,39
461,Adenoviridae,Hong Kong,42617,61
462,Adenoviridae,Hungary,43489,872
463,Adenoviridae,India,44742,1253
464,Adenoviridae,Indonesia,44814,72
465,Adenoviridae,Iran,45118,304
466,Adenoviridae,Iraq,45272,154
467,Adenoviridae,Ireland,45489,217
468,Adenoviridae,Israel,45505,16
469,Adenoviridae,Italy,46156,651
470,Adenoviridae,Japan,50622,4466
471,Adenoviridae,Kazakhstan,50623,1
472,Adenoviridae,Kenya,52408,1785
473,Adenoviridae,Kuwait,52443,35
474,Adenoviridae,Kyrgyzstan,52451,8
475,Adenoviridae,Macau,52454,3
476,Adenoviridae,Madagascar,52460,6
477,Adenoviridae,Malaysia,52834,374
478,Adenoviridae,Mexico,53031,197
479,Adenoviridae,Mongolia,53069,38
480,Adenoviridae,Morocco,53143,74
481,Adenoviridae,Mozambique,53153,10
482,Adenoviridae,Myanmar,53154,1
483,Adenoviridae,Nepal,53193,39
484,Adenoviridae,Netherlands,53717,524
485,Adenoviridae,New Zealand,53724,7
486,Adenoviridae,Nigeria,53729,5
487,Adenoviridae,Norway,53755,26
488,Adenoviridae,Pakistan,53866,111
489,Adenoviridae,Panama,53903,37
490,Adenoviridae,Paraguay,53951,48
491,Adenoviridae,Peru,54033,82
492,Adenoviridae,Philippines,54080,47
493,Adenoviridae,Poland,54173,93
494,Adenoviridae,Portugal,54220,47
495,Adenoviridae,Republic of the Congo,54253,33
496,Adenoviridae,Romania,54254,1
497,Adenoviridae,Russia,54956,702
498,Adenoviridae,Rwanda,54974,18
499,Adenoviridae,Saint Kitts and Nevis,54990,16
500,Adenoviridae,Saudi Arabia,55337,347
501,Adenoviridae,Serbia,55355,18
502,Adenoviridae,Singapore,55798,443
503,Adenoviridae,Slovakia,55854,56
504,Adenoviridae,Slovenia,55862,8
505,Adenoviridae,South Africa,56221,359
506,Adenoviridae,South Korea,57411,1190
507,Adenoviridae,Spain,57857,446
508,Adenoviridae,Sudan,57863,6
509,Adenoviridae,Sweden,59114,1251
510,Adenoviridae,Switzerland,59627,513
511,Adenoviridae,Taiwan,59985,358
512,Adenoviridae,Tajikistan,59993,8
513,Adenoviridae,Tanzania,60053,60
514,Adenoviridae,Thailand,60813,760
515,Adenoviridae,Trinidad and Tobago,60820,7
516,Adenoviridae,Tunisia,61089,269
517,Adenoviridae,Turkey,61252,163
518,Adenoviridae,USA,77477,16225
519,Adenoviridae,Uganda,77625,148
520,Adenoviridae,Ukraine,77666,41
521,Adenoviridae,United Arab Emirates,77679,13
522,Adenoviridae,United Kingdom,79687,2008
523,Adenoviridae,Uruguay,79689,2
524,Adenoviridae,Viet Nam,80310,621
525,Adenoviridae,Zambia,80348,38
526,Adenoviridae sp.,Austria,2,2
527,Adenoviridae sp.,Belgium,3,1
528,Adenoviridae sp.,China,29,26
529,Adenoviridae sp.,Denmark,30,1
530,Adenoviridae sp.,Mongolia,32,2
531,Adenoviridae sp.,Singapore,33,1
532,Adenoviridae sp.,Switzerland,34,1
533,Adenoviridae sp.,Uganda,35,1
534,Adenoviridae sp.,United Kingdom,36,1
535,Adenovirus Hu/RJ/2006-08/Brazil/2006,Brazil,1,1
536,Adenovirus Hu/RJ/2006-13/Brazil/2006,Brazil,1,1
537,Adenovirus Hu/RJ/2006-14/Brazil/2006,Brazil,1,1
538,Adenovirus Hu/RJ/2008-317/Brazil/2008,Brazil,1,1
539,Adenovirus Hu/RJ/2008-318/Brazil/2008,Brazil,1,1
540,Adenovirus Hu/RJ/2008-319/Brazil/2008,Brazil,1,1
541,Adenovirus Hu/RJ/2008-320/Brazil/2008,Brazil,1,1
542,Adenovirus Hu/RJ/2008-322/Brazil/2008,Brazil,1,1
543,Adenovirus Hu/RJ/2008-323/Brazil/2008,Brazil,1,1
544,Adenovirus Hu/RJ/2008-324/Brazil/2008,Brazil,1,1
545,Adenovirus Hu/RJ/2008-334/Brazil/2008,Brazil,1,1
546,Adenovirus Hu/RJ/2008-335/Brazil/2008,Brazil,1,1
547,Adenovirus Hu/RJ/2008-337/Brazil/2008,Brazil,1,1
548,Adenovirus Hu/RJ/2008-338/Brazil/2008,Brazil,1,1
549,Adenovirus Hu/RJ/2008-339/Brazil/2008,Brazil,1,1
550,Adenovirus Hu/RJ/2008-340/Brazil/2008,Brazil,1,1
551,Adenovirus Hu/RJ/2008-341/Brazil/2008,Brazil,1,1
552,Adenovirus Hu/RJ/2008-342/Brazil/2008,Brazil,1,1
553,Adenovirus Hu/RJ/2008-356/Brazil/2008,Brazil,1,1
554,Adenovirus Lopburi057/2006/THA,Thailand,1,1
555,Adenovirus Lopburi070/2006/THA,Thailand,1,1
556,Adenovirus Lopburi073/2006/THA,Thailand,1,1
557,Adenovirus Lopburi078/2006/THA,Thailand,1,1
558,Adenovirus PREDICT_AdV-12,Bangladesh,1,1
559,Adenovirus PREDICT_AdV-13,Brazil,7,7
560,Adenovirus PREDICT_AdV-14,Brazil,1,1
561,Adenovirus PREDICT_AdV-15,Brazil,2,2
562,Adenovirus PREDICT_AdV-16,Brazil,5,5
563,Adenovirus PREDICT_AdV-17,Cameroon,2,2
