Species,Collection_Date,Count
Barley yellow dwarf virus PAV,1940.0,1
Influenza A virus,1940.0,16
Influenza B virus,1940.0,8
Potato virus X,1940.0,1
Citrus leprosis virus C,1941.0,2
Tick-borne encephalitis virus,1941.0,3
Bluetongue virus,1941.0,42
Avian coronavirus,1941.0,2
Western equine encephalitis virus,1941.0,4
Equid alphaherpesvirus 1,1941.0,1
Yellow fever virus,1941.0,1
Enterovirus C,1942.0,1
Bluetongue virus,1942.0,40
Cardiovirus A,1942.0,1
Tick-borne encephalitis virus,1942.0,3
Semliki Forest virus,1942.0,1
Influenza A virus,1942.0,26
Venezuelan equine encephalitis virus,1942.0,1
Colorado tick fever coltivirus,1943.0,12
Potato virus Y,1943.0,4
Foot-and-mouth disease virus,1943.0,1
Bluetongue virus,1943.0,10
Influenza A virus,1943.0,32
Ntaya virus,1943.0,1
Bunyamwera orthobunyavirus,1943.0,3
Tick-borne encephalitis virus,1943.0,5
California encephalitis orthobunyavirus,1943.0,6
Japanese encephalitis virus,1943.0,1
Cauliflower mosaic virus,1943.0,1
Bluetongue virus,1944.0,30
Avian orthoavulavirus 1,1944.0,2
Foot-and-mouth disease virus,1944.0,2
Cardiovirus A,1944.0,1
Dengue virus,1944.0,8
Rift Valley fever phlebovirus,1944.0,7
Naples virus,1944.0,3
Ralstonia phage YO120_2,1945.0,1
Broad bean wilt virus 1,1945.0,2
Avian orthoavulavirus 1,1945.0,1
Ralstonia phage YO120_1,1945.0,1
Influenza A virus,1945.0,8
Variola virus,1946.0,2
Goatpox virus,1946.0,28
Yellow fever virus,1946.0,1
Japanese encephalitis virus,1946.0,2
Avian orthoavulavirus 1,1946.0,6
Influenza A virus,1946.0,25
Western equine encephalitis virus,1946.0,2
Lymphocytic choriomeningitis mammarenavirus,1947.0,2
Equine infectious anemia virus,1947.0,1
Avian orthoavulavirus 1,1947.0,3
Apis mellifera filamentous virus,1947.0,1
Influenza C virus,1947.0,6
Eastern equine encephalitis virus,1947.0,1
Zika virus,1947.0,15
Murine coronavirus,1947.0,2
Influenza A virus,1947.0,33
Variola virus,1947.0,3
Japanese encephalitis virus,1947.0,2
Foot-and-mouth disease virus,1947.0,2
Lyssavirus rabies,1948.0,1
Variola virus,1948.0,1
Trivittatus orthobunyavirus,1948.0,6
Rabies lyssavirus,1948.0,2
Foot-and-mouth disease virus,1948.0,1
Citrus leprosis virus,1948.0,7
Mammalian 1 orthobornavirus,1948.0,1
Avian orthoavulavirus 1,1948.0,6
Influenza A virus,1948.0,24
Japanese encephalitis virus,1948.0,2
Omsk hemorrhagic fever virus,1948.0,1
Influenza A virus,1949.0,45
Fowl aviadenovirus A,1949.0,1
Ralstonia phage YO135_2,1949.0,1
Rinderpest morbillivirus,1949.0,2
Lyssavirus rabies,1949.0,2
Ralstonia phage YO135_1,1949.0,1
Ralstonia phage YO135_4,1949.0,1
Japanese encephalitis virus,1949.0,4
African swine fever virus,1949.0,7
Enterovirus B,1949.0,1
Lymphocytic choriomeningitis mammarenavirus,1949.0,1
Enterovirus A,1949.0,1
Myxoma virus,1949.0,2
Western equine encephalitis virus,1950.0,1
Rabies lyssavirus,1950.0,3
Ralstonia phage YO382_3,1950.0,1
Foot-and-mouth disease virus,1950.0,2
Influenza A virus,1950.0,30
Ralstonia phage YO382_2,1950.0,1
Ralstonia phage YO382_1,1950.0,1
Japanese encephalitis virus,1950.0,1
Influenza C virus,1950.0,3
Ralstonia phage YO031_2,1950.0,1
Saint Louis encephalitis virus,1950.0,1
Mumps orthorubulavirus,1950.0,1
Myxoma virus,1950.0,1
Avian orthoavulavirus 1,1950.0,2
Myxoma virus,1951.0,1
Variola virus,1951.0,2
Human alphaherpesvirus 1,1951.0,2
Tick-borne encephalitis virus,1951.0,2
Avian coronavirus,1951.0,1
Pestivirus C,1951.0,2
Avian orthoavulavirus 1,1951.0,2
Influenza A virus,1951.0,49
Japanese encephalitis virus,1951.0,1
Pichia membranifaciens virus L-A,1951.0,1
Eastern equine encephalitis virus,1951.0,1
Rift Valley fever phlebovirus,1951.0,8
Spondweni virus,1952.0,1
Bluetongue virus,1952.0,10
Sindbis virus,1952.0,2
Japanese encephalitis virus,1952.0,2
Qualyub virus,1952.0,3
Myxoma virus,1952.0,2
African horse sickness virus,1952.0,10
Qalyub orthonairovirus,1952.0,9
Vibrio phage 11895-B1,1952.0,2
Foot-and-mouth disease virus,1952.0,1
Wad Medani virus,1952.0,20
Variola virus,1952.0,1
Tick-borne encephalitis virus,1952.0,2
Enterovirus A,1952.0,1
Enterovirus C,1952.0,2
Alphacoronavirus 1,1952.0,1
unidentified adenovirus,1953.0,1
Myxoma virus,1953.0,1
Semliki Forest virus,1953.0,1
Hepacivirus C,1953.0,2
Quaranjavirus quaranfilense,1953.0,6
Saint Louis encephalitis virus,1953.0,1
Dengue virus,1953.0,2
West Nile virus,1953.0,1
Western equine encephalitis virus,1953.0,2
Eastern equine encephalitis virus,1953.0,1
Sindbis virus,1953.0,2
Human mastadenovirus C,1953.0,3
Bluetongue virus,1953.0,33
Chikungunya virus,1953.0,2
Human mastadenovirus E,1953.0,1
Influenza A virus,1953.0,24
Tick-borne encephalitis virus,1953.0,1
Avian coronavirus,1953.0,1
Rinderpest morbillivirus,1953.0,1
Vaccinia virus,1953.0,1
Foot-and-mouth disease virus,1953.0,2
Variola virus,1953.0,2
Lamium mild mosaic virus,1953.0,4
Tick-borne encephalitis virus,1954.0,2
Ralstonia phage YO374_1,1954.0,1
African swine fever virus,1954.0,1
Rabies lyssavirus,1954.0,1
Ralstonia phage YO383_1,1954.0,1
Myxoma virus,1954.0,2
Ralstonia phage YO383_2,1954.0,1
Ralstonia phage YO374_2,1954.0,1
Ralstonia phage YO374_3,1954.0,1
Manzanilla orthobunyavirus,1954.0,3
Avian coronavirus,1954.0,1
Mayaro virus,1954.0,1
Marituba orthobunyavirus,1954.0,15
Chenuda virus,1954.0,20
Ganjam virus,1954.0,3
Rinderpest morbillivirus,1954.0,2
Oriboca orthobunyavirus,1954.0,15
Turlock orthobunyavirus,1954.0,3
Human mastadenovirus A,1954.0,1
Sindbis virus,1954.0,1
Mumps orthorubulavirus,1954.0,3
Lumpy skin disease virus,1954.0,3
Yellow fever virus,1954.0,1
Measles morbillivirus,1954.0,1
Wanowrie virus,1954.0,3
Influenza C virus,1954.0,7
Nairobi sheep disease orthonairovirus,1954.0,2
Bhanja bandavirus,1954.0,6
Influenza A virus,1954.0,32
Wad Medani virus,1954.0,10
Saint Louis encephalitis virus,1955.0,3
Rift Valley fever phlebovirus,1955.0,20
Avian orthoavulavirus 1,1955.0,1
Epizootic hemorrhagic disease virus,1955.0,20
Ralstonia phage YO375_1,1955.0,1
Japanese encephalitis virus,1955.0,2
Human mastadenovirus D,1955.0,7
Ralstonia phage YO375_4,1955.0,1
Anopheles A orthobunyavirus,1955.0,6
Bimiti orthobunyavirus,1955.0,6
Ralstonia phage YO375_6,1955.0,1
Wesselsbron virus,1955.0,6
Sindbis virus,1955.0,1
Human mastadenovirus B,1955.0,1
Tacaiuma orthobunyavirus,1955.0,6
Turlock orthobunyavirus,1955.0,7
Batai orthobunyavirus,1955.0,6
Yellow fever virus,1955.0,2
Spondweni virus,1955.0,1
Bwamba orthobunyavirus,1955.0,4
Getah virus,1955.0,4
Bluetongue virus,1955.0,30
Apeu orthobunyavirus,1955.0,6
Triniti orthobunyavirus,1955.0,3
Brucella virus Tb,1955.0,3
Melao orthobunyavirus,1955.0,6
Tomato black ring virus,1955.0,2
Oropouche orthobunyavirus,1955.0,3
Hart Park hapavirus,1955.0,4
Madariaga virus,1955.0,1
Catu orthobunyavirus,1955.0,6
Mayaro virus,1955.0,5
West Nile virus,1955.0,2
Foot-and-mouth disease virus,1955.0,2
Omsk hemorrhagic fever virus,1955.0,1
Aruac virus,1955.0,2
Myxoma virus,1955.0,2
Marituba orthobunyavirus,1955.0,12
Kairi orthobunyavirus,1955.0,3
Simian adenovirus 2,1955.0,1
Guama orthobunyavirus,1955.0,6
Wyeomyia orthobunyavirus,1955.0,6
Ralstonia phage YO137_1,1956.0,1
Japanese encephalitis virus,1956.0,3
Human betaherpesvirus 5,1956.0,2
Lyssavirus rabies,1956.0,3
Bakau orthobunyavirus,1956.0,6
Ralstonia phage YO136_2,1956.0,1
Tacaribe mammarenavirus,1956.0,2
Cache Valley orthobunyavirus,1956.0,6
Madariaga virus,1956.0,2
Rio Bravo virus,1956.0,1
Influenza A virus,1956.0,111
Kern Canyon ledantevirus,1956.0,3
Avian coronavirus,1956.0,2
Human orthopneumovirus,1956.0,2
Lagos bat lyssavirus,1956.0,8
Murray Valley encephalitis virus,1956.0,2
Guaroa orthobunyavirus,1956.0,3
Chikungunya virus,1956.0,1
Getah virus,1956.0,1
Langat virus,1956.0,1
Caraparu orthobunyavirus,1956.0,15
Rift Valley fever phlebovirus,1956.0,4
Human mastadenovirus D,1956.0,5
Ralstonia phage YO136_1,1956.0,1
Navarro virus,1956.0,1
Lebombo virus,1956.0,20
Sindbis virus,1956.0,1
Goatpox virus,1956.0,1
Turlock orthobunyavirus,1956.0,6
Crimean-Congo hemorrhagic fever orthonairovirus,1956.0,7
Avian metaavulavirus 2,1956.0,3
Dengue virus,1956.0,9
Madrid orthobunyavirus,1956.0,6
Vibrio phage vB_VchM-138,1956.0,2
Bluetongue virus,1956.0,30
Rabies lyssavirus,1956.0,9
Myxoma virus,1956.0,1
Simian adenovirus 2,1956.0,3
Bovine alphaherpesvirus 1,1956.0,3
Lyssavirus lagos,1956.0,1
Ralstonia phage YO138_1,1956.0,1
Ralstonia phage YO384_1,1956.0,1
Spodoptera littoralis nucleopolyhedrovirus,1956.0,2
Ralstonia phage YO138_2,1956.0,1
Ralstonia phage YO137_2,1956.0,1
Beet ringspot virus,1956.0,2
Nairobi sheep disease orthonairovirus,1956.0,2
Bovine fever ephemerovirus,1956.0,1
Turlock orthobunyavirus,1957.0,4
African swine fever virus,1957.0,9
Ralstonia phage YO189_4,1957.0,1
Simian mastadenovirus A,1957.0,3
Teschovirus A,1957.0,1
Anatid alphaherpesvirus 1,1957.0,1
Human mastadenovirus B,1957.0,1
Rabies lyssavirus,1957.0,1
Middelburg virus,1957.0,1
Ralstonia phage YO190_1,1957.0,1
Foot-and-mouth disease virus,1957.0,2
Turnip rosette virus,1957.0,3
Kaisodi uukuvirus,1957.0,10
Kairi orthobunyavirus,1957.0,6
Maguari orthobunyavirus,1957.0,9
Mumps orthorubulavirus,1957.0,3
Staphylococcus phage 812,1957.0,3
Escherichia phage Lambda imm434,1957.0,1
Bertioga orthobunyavirus,1957.0,6
Nyavirus nyamaniniense,1957.0,1
Batai orthobunyavirus,1957.0,6
Dengue virus,1957.0,1
Kyasanur Forest disease virus,1957.0,5
Tomato black ring virus,1957.0,2
Human betaherpesvirus 5,1957.0,1
West Nile virus,1957.0,3
Enterovirus B,1957.0,6
Marituba orthobunyavirus,1957.0,3
Influenza A virus,1957.0,226
Potato virus Y,1957.0,1
Wesselsbron virus,1957.0,9
Simian adenovirus 17,1957.0,1
Ilheus virus,1957.0,1
Mayaro virus,1957.0,2
Human respirovirus 1,1957.0,1
Ralstonia phage YO188_2,1957.0,1
Tick-borne encephalitis virus,1957.0,2
Heterobasidion partitivirus 14,1957.0,1
Hepatovirus A,1957.0,7
Cercopithecine betaherpesvirus 5,1957.0,1
Ralstonia phage YO188_1,1957.0,1
Ralstonia phage YO168_1,1958.0,1
Foot-and-mouth disease virus,1958.0,2
Tick-borne encephalitis virus,1958.0,9
Rotavirus A,1958.0,35
Potato virus Y,1958.0,1
Mumps orthorubulavirus,1958.0,2
Influenza A virus,1958.0,55
Human mastadenovirus G,1958.0,1
Chikungunya virus,1958.0,2
Madariaga virus,1958.0,1
Powassan virus,1958.0,1
Apple stem grooving virus,1958.0,2
Rinderpest morbillivirus,1958.0,2
Kyasanur Forest disease virus,1958.0,1
Ralstonia phage YO034_1,1958.0,1
Kedougou virus,1958.0,1
Bluetongue virus,1958.0,71
La Joya hapavirus,1958.0,3
Ralstonia phage YO169_3,1958.0,1
San Angelo orthobunyavirus,1958.0,6
Cucurbitaria piceae virus 1,1958.0,2
Ralstonia phage YO169_1,1958.0,1
Witwatersrand orthobunyavirus,1958.0,6
Ralstonia phage YO013_1,1958.0,1
Crimean-Congo hemorrhagic fever orthonairovirus,1958.0,3
Reticuloendotheliosis virus,1958.0,1
Ralstonia phage YO013_2,1958.0,1
Bovine alphaherpesvirus 1,1958.0,1
Japanese encephalitis virus,1958.0,3
Pacora virus,1958.0,3
Simian adenovirus 12,1958.0,4
Ralstonia phage YO013_3,1958.0,1
Human mastadenovirus B,1958.0,1
Simian mastadenovirus D,1958.0,2
Pestivirus C,1958.0,3
Capim orthobunyavirus,1958.0,9
Simian adenovirus 8,1958.0,2
Tahyna orthobunyavirus,1958.0,8
Spondweni virus,1958.0,9
West Nile virus,1958.0,4
Western equine encephalitis virus,1958.0,1
Human mastadenovirus D,1958.0,1
Lyssavirus rabies,1958.0,1
Clostridium phage D-1873,1958.0,8
Enterovirus A,1958.0,1
Simian adenovirus 5,1958.0,4
Simian mastadenovirus A,1958.0,9
Kyasanur Forest disease virus,1959.0,2
Ralstonia phage YO035_3,1959.0,1
Lumpy skin disease virus,1959.0,1
Akabane orthobunyavirus,1959.0,5
Marituba orthobunyavirus,1959.0,3
Ralstonia phage YO035_4,1959.0,1
African horse sickness virus,1959.0,4
Moju orthobunyavirus,1959.0,3
Tick-borne encephalitis virus,1959.0,4
Ralstonia phage YO044_2,1959.0,1
Cauliflower mosaic virus,1959.0,1
Eastern equine encephalitis virus,1959.0,2
Epizootic hemorrhagic disease virus,1959.0,10
Usutu virus,1959.0,2
Lychnis ringspot virus,1959.0,3
Foot-and-mouth disease virus,1959.0,5
Ralstonia phage YO038_1,1959.0,1
Enterovirus C,1959.0,1
Salehabad phlebovirus,1959.0,6
Spondweni virus,1959.0,4
Ralstonia phage YO376_3,1959.0,1
Ross River virus,1959.0,2
Ralstonia phage YO037_1,1959.0,1
Chikungunya virus,1959.0,1
Mossuril hapavirus,1959.0,4
Ralstonia phage YO036_4,1959.0,1
Ralstonia phage YO036_3,1959.0,1
Leptomonas seymouri Narna-like virus 1,1959.0,4
Madariaga virus,1959.0,1
Ralstonia phage YO376_6,1959.0,1
African swine fever virus,1959.0,20
Ralstonia phage YO044_1,1959.0,1
Changuinola virus,1959.0,10
Tete orthobunyavirus,1959.0,9
Ralstonia phage YO089_2,1959.0,1
Ralstonia phage YO089_1,1959.0,1
Enterovirus B,1959.0,4
Snowshoe hare orthobunyavirus,1959.0,6
Wesselsbron virus,1959.0,4
Ingwavuma orthobunyavirus,1959.0,6
Orungo virus,1959.0,20
Bluetongue virus,1959.0,90
Sindbis virus,1959.0,3
Nyando orthobunyavirus,1959.0,6
Karimabad phlebovirus,1959.0,3
Avian orthoavulavirus 1,1959.0,1
Ndumu virus,1959.0,1
Israel turkey meningoencephalomyelitis virus,1959.0,1
Influenza A virus,1959.0,47
Western equine encephalitis virus,1959.0,1
Guajara orthobunyavirus,1959.0,6
Oriboca orthobunyavirus,1959.0,6
Human mastadenovirus D,1959.0,3
Bushbush orthobunyavirus,1959.0,3
Macacine alphaherpesvirus 1,1960.0,1
Icoaraci phlebovirus,1960.0,6
Batai orthobunyavirus,1960.0,2
Mammalian 1 orthobornavirus,1960.0,1
Oropouche orthobunyavirus,1960.0,9
Bluetongue virus,1960.0,51
Chikungunya virus,1960.0,1
Ralstonia phage YO032_2,1960.0,1
Spondweni virus,1960.0,1
Lanjan virus,1960.0,1
Highlands J virus,1960.0,2
Mumps orthorubulavirus,1960.0,6
Piry vesiculovirus,1960.0,4
Guaroa orthobunyavirus,1960.0,6
Corriparta virus,1960.0,20
African horse sickness virus,1960.0,10
Citrus tristeza virus,1960.0,1
Jamestown Canyon orthobunyavirus,1960.0,3
Eastern equine encephalitis virus,1960.0,3
Sowthistle yellow vein betanucleorhabdovirus,1960.0,1
Mayaro virus,1960.0,2
Human immunodeficiency virus 1,1960.0,79
West Nile virus,1960.0,8
Turnip mosaic virus,1960.0,1
Silverwater uukuvirus,1960.0,6
Yellow fever virus,1960.0,1
African swine fever virus,1960.0,10
Sindbis virus,1960.0,3
Dengue virus,1960.0,4
Enterovirus B,1960.0,2
Mapputta orthobunyavirus,1960.0,6
Ananindeua orthobunyavirus,1960.0,3
Wesselsbron virus,1960.0,1
Alphaarterivirus equid,1960.0,1
Saint Louis encephalitis virus,1960.0,1
Cucumber vein yellowing virus,1960.0,1
Japanese encephalitis virus,1960.0,2
Crimean-Congo hemorrhagic fever orthonairovirus,1960.0,3
Ralstonia phage YO165_1,1960.0,1
Ralstonia phage YO165_2,1960.0,1
Kyasanur Forest disease virus,1960.0,1
Koongol orthobunyavirus,1960.0,9
Ralstonia phage YO139_2,1960.0,1
Ralstonia phage YO139_1,1960.0,1
La Crosse orthobunyavirus,1960.0,3
Foot-and-mouth disease virus,1960.0,7
Tick-borne encephalitis virus,1960.0,10
Influenza A virus,1960.0,31
Omsk hemorrhagic fever virus,1960.0,1
Madariaga virus,1960.0,1
Tensaw orthobunyavirus,1960.0,3
Avian coronavirus,1960.0,3
Gabek phlebovirus,1961.0,6
Sororoca orthobunyavirus,1961.0,6
Yellow fever virus,1961.0,5
Bacillus phage SP8,1961.0,1
African swine fever virus,1961.0,12
Goatpox virus,1961.0,4
Sindbis virus,1961.0,1
Patois orthobunyavirus,1961.0,3
Enterovirus B,1961.0,4
Foot-and-mouth disease virus,1961.0,1
Raccoonpox virus,1961.0,1
Ralstonia phage YO001_3,1961.0,1
Dengue virus,1961.0,2
Kokobera virus,1961.0,3
Apeu orthobunyavirus,1961.0,3
Turnip mosaic virus,1961.0,3
Western equine encephalitis virus,1961.0,1
African horse sickness virus,1961.0,90
Monkeypox virus,1961.0,1
Pacui pacuvirus,1961.0,6
Influenza A virus,1961.0,33
Cocal vesiculovirus,1961.0,2
Matariya virus,1961.0,2
Cat Que orthobunyavirus,1961.0,3
Matruh orthobunyavirus,1961.0,3
Ralstonia phage YO123_1,1961.0,1
Ralstonia phage YO131_4,1961.0,1
Buttonwillow orthobunyavirus,1961.0,3
Cache Valley orthobunyavirus,1961.0,7
Vibrio phage 919TP,1961.0,1
Rubivirus rubellae,1961.0,2
Ralstonia phage YO123_2,1961.0,1
Mayaro virus,1961.0,1
Tick-borne encephalitis virus,1961.0,1
Madrid orthobunyavirus,1961.0,6
Ralstonia phage YO001_4,1961.0,1
Eastern equine encephalitis virus,1961.0,1
Sunrhavirus matariya,1961.0,1
Jamestown Canyon orthobunyavirus,1961.0,9
Human orthopneumovirus,1961.0,3
Ralstonia phage YO046_1,1961.0,1
Nairobi sheep disease orthonairovirus,1961.0,13
Pixuna virus,1961.0,1
I612045 virus,1961.0,3
Alphaarterivirus equid,1961.0,1
Zegla orthobunyavirus,1961.0,9
Ralstonia phage YO150_3,1961.0,1
Rinderpest morbillivirus,1961.0,4
Oropouche orthobunyavirus,1961.0,15
Ralstonia phage YO378_4,1961.0,1
Ralstonia phage YO047_2,1961.0,1
Ralstonia phage YO047_1,1961.0,1
Acara orthobunyavirus,1961.0,3
Ralstonia phage YO378_2,1961.0,1
Ralstonia phage YO122_3,1961.0,1
Alphapapillomavirus 9,1961.0,1
Ralstonia phage YO150_4,1961.0,1
Flanders hapavirus,1961.0,3
Ralstonia phage YO122_2,1961.0,1
Cotia virus,1961.0,3
Venezuelan equine encephalitis virus,1961.0,6
Ralstonia phage YO122_1,1961.0,1
Mumps orthorubulavirus,1961.0,3
Ralstonia phage YO121_2,1961.0,1
Ralstonia phage YO046_2,1961.0,1
Ralstonia phage YO149_1,1961.0,1
Changuinola virus,1961.0,42
Enterovirus C,1961.0,1
Ralstonia phage YO121_1,1961.0,1
Influenza A virus,1962.0,9
Gamboa orthobunyavirus,1962.0,3
Bovine rhinitis A virus,1962.0,2
Ralstonia phage YO096_3,1962.0,1
Bujaru phlebovirus,1962.0,6
Suid alphaherpesvirus 1,1962.0,3
Ralstonia phage YO096_1,1962.0,1
Ralstonia phage YO097_2,1962.0,1
Ralstonia phage YO096_2,1962.0,1
Ralstonia phage YO097_1,1962.0,1
Itaporanga phlebovirus,1962.0,6
Madariaga virus,1962.0,2
African horse sickness virus,1962.0,270
Hughes orthonairovirus,1962.0,10
Lyssavirus rabies,1962.0,1
Cotia virus,1962.0,1
Saint Louis encephalitis virus,1962.0,2
Ralstonia phage YO181_2,1962.0,1
Zika virus,1962.0,1
Foot-and-mouth disease virus,1962.0,6
Pestivirus A,1962.0,1
Anatid alphaherpesvirus 1,1962.0,1
Lymphocystis disease virus 1,1962.0,1
African swine fever virus,1962.0,4
Omsk hemorrhagic fever virus,1962.0,2
Dengue virus,1962.0,7
Nairobi sheep disease orthonairovirus,1962.0,22
Bovine alphaherpesvirus 5,1962.0,1
Magpiepox virus 2,1962.0,1
Marco hapavirus,1962.0,4
Batai orthobunyavirus,1962.0,6
Piscine novirhabdovirus,1962.0,2
Nariva narmovirus,1962.0,2
Ralstonia phage YO097_3,1962.0,1
Lumbo orthbunyavirus,1962.0,6
Ralstonia phage YO181_1,1962.0,1
Timbo virus,1962.0,1
Oak looper alphabaculovirus,1962.0,1
Great Island virus,1962.0,14
Kyasanur Forest disease virus,1962.0,3
Rinderpest morbillivirus,1962.0,4
Chaco sripuvirus,1962.0,4
Anhanga phlebovirus,1962.0,6
Changuinola virus,1962.0,10
Venezuelan equine encephalitis virus,1962.0,4
Rift Valley fever phlebovirus,1962.0,5
Sindbis virus,1962.0,2
Eastern equine encephalitis virus,1962.0,2
Tanga virus,1962.0,3
Avian orthoavulavirus 1,1962.0,3
Louping ill virus,1962.0,1
Anopheles B orthobunyavirus,1962.0,3
Epizootic hemorrhagic disease virus,1962.0,10
Tahyna orthobunyavirus,1962.0,3
Chikungunya virus,1962.0,2
Enterovirus D,1962.0,3
Mumps orthorubulavirus,1962.0,9
Jurona vesiculovirus,1962.0,4
Enterovirus B,1962.0,3
Bushbush orthobunyavirus,1962.0,3
Avian coronavirus,1962.0,2
Barur ledantevirus,1962.0,3
Klamath tupavirus,1962.0,4
Bunyamwera orthobunyavirus,1962.0,7
Human orthopneumovirus,1962.0,2
Tick-borne encephalitis virus,1962.0,2
Burg el Arab virus,1962.0,2
Western equine encephalitis virus,1962.0,1
Foot-and-mouth disease virus,1963.0,3
Peridroma alphabaculovirus,1963.0,1
Ralstonia phage YO045_2,1963.0,1
Ungulate protoparvovirus 1,1963.0,1
Lyssavirus rabies,1963.0,1
Olifantsvlei orthobunyavirus,1963.0,3
