Species,Host,Count
Acanthocystis turfacea Chlorella virus MN08101,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus MO0605SPH,Chlorella heliozoae,2
Acanthocystis turfacea Chlorella virus MO3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NE-JV-2,Chlorella heliozoae,2
Acanthocystis turfacea Chlorella virus NE-JV-3,Chlorella heliozoae,2
Acanthocystis turfacea Chlorella virus NPRLb,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NPRma,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NPRsb,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NTS-1,Chlorella heliozoae,2
Acanthocystis turfacea Chlorella virus NY-2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NY-2s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NY2m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NY2s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus OH-S,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus OR0704.3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Or0704,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Pl_R_Lma,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Pl_R_OLa,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus SPRLa,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus SPRma,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus SPRsb,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Smith-Lake_Large-Plaque,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Smith-Lake_Medium-Plaque,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Smith-Lake_Small-Plaque,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Smith_L_La,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Somers_MT_L3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Somers_MT_m1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TN603,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TN603.4.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TX3-L1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TX3-L2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TX3m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TX3s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Verbena_VA_L4,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Verbena_VA_m1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Verbena_VA_s3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus WI0606,Chlorella heliozoae,2
Acanthocystis turfacea Chlorella virus WR_DE,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus WR_DE_s2cr2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_1.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_1.2m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_1.2s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_10.1L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_10.1s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_10.1s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_11.1m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_12.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_12.3L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_12.3s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_13.1L1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_13.1L2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_13.1s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_14.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_14.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_14.3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_3.1s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_5.1L1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_5.1L2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_5.1s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_6.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_6.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_7.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_8.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_9.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_1.2m1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_1.2m2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_3.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_4.1L1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_4.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_5.2L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_5.3m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_5.3s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_7.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_8.1,Chlorella heliozoae,1
Acanthocystis turfacea chlorella virus 1,Chlorella heliozoae,3
Acanthurus bariene nervous necrosis virus,Acanthurus bariene,1
Acanthurus dussumieri iridovirus,Acanthurus dussumieri,1
Acara orthobunyavirus,Culex amazonensis,3
Acara orthobunyavirus,Mus musculus,3
Acartia tonsa copepod circovirus,Acartia tonsa,2
Acaryochloris phage A-HIS1,Acaryochloris,2
Acaryochloris phage A-HIS1,Acaryochloris marina,1
Acaryochloris phage A-HIS2,Acaryochloris,2
Acaryochloris phage A-HIS2,Acaryochloris marina,1
Accipiter gentilis Genomoviridae sp.,Accipiter gentilis,1
Accipiter gentilis parvo-like hybrid virus,Accipiter gentilis,1
Accipiter gentilis parvoviridae sp.,Accipiter gentilis,1
Acer pseudosieboldianum amalgavirus 1,Acer pseudosieboldianum,1
Acerodon celebensis polyomavirus 1,Acerodon celebensis,2
Acerodon celebensis polyomavirus 2,Acerodon celebensis,2
Acetobacter phage Acm1,Acetobacter,1
Acetobacter phage phiAO1,Acetobacter orleanensis,1
Acetobacter phage phiAP1,Acetobacter pasteurianus,1
Acetobacter phage phiAX1,Acetobacter sp. ATCC 21760,1
Achaea faber nucleopolyhedrovirus,Achaea faber,4
Achaea janata granulovirus,Achaea janata,8
Acheta domesticus Iflavirus,Acheta domesticus,2
Acheta domesticus virus,Acheta domesticus,1
Acheta domesticus volvovirus,Acheta domesticus,5
Acheta domesticus volvovirus,Gryllus assimilis,1
Achimota pararubulavirus 1,Eidolon helvum,2
Achimota pararubulavirus 2,Eidolon helvum,2
Achimota pararubulavirus 3,Eidolon helvum,1
Acholeplasma virus L2,Acholeplasma laidlawii,1
Acholeplasma virus L2,Mycoplasma sp.,1
Acholeplasma virus L51,Acholeplasma,1
Acholeplasma virus L51,Acholeplasma laidlawii,1
Achromobacter phage AMA1,Achromobacter marplatensis,1
Achromobacter phage AMA2,Achromobacter marplatensis,1
Achromobacter phage AXY1,Achromobacter xylosoxidans,1
Achromobacter phage JWDelta,Achromobacter xylosoxidans,1
Achromobacter phage JWF,Achromobacter xylosoxidans,2
Achromobacter phage Mano,Achromobacter sp.,2
Achromobacter phage phiAxp-1,Achromobacter xylosoxidans,2
Achromobacter phage phiAxp-2,Achromobacter xylosoxidans,2
Achromobacter phage vB_AchrS_AchV4,Achromobacter,2
Achromobacter phage vB_Ade_ART,Achromobacter denitrificans,1
Achromobacter phage vB_AxyP_19-32_Axy09,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyP_19-32_Axy13,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyP_19-32_Axy21,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyP_19-32_Axy22,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyP_19-32_Axy23,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyS_19-32_Axy06,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyS_19-32_Axy14,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyS_19-32_Axy16,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyS_19-32_Axy18,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyS_19-32_Axy19,Achromobacter xylosoxidans,1
Achromobacter phage vB_AxyS_19-32_Axy20,Achromobacter xylosoxidans,1
Achromobacter virus 83-24,Achromobacter xylosoxidans,2
Achromobacter virus Axp3,Achromobacter xylosoxidans,2
Achromobacter virus Axy04,Achromobacter xylosoxidans,2
Achromobacter virus Axy10,Achromobacter xylosoxidans,2
Achromobacter virus Axy11,Achromobacter xylosoxidans,2
Achromobacter virus Axy12,Achromobacter xylosoxidans,2
Achromobacter virus Axy24,Achromobacter xylosoxidans,2
Achromobacter virus JWAlpha,Achromobacter xylosoxidans,2
Achromobacter virus JWX,Achromobacter xylosoxidans,2
Achromobacter virus Motura,Achromobacter animicus,2
Achyranthes bidentata mosaic virus,Achyranthes bidentata,1
Achyranthes virus A,Achyranthes bidentata,1
Acidianus filamentous virus 1,Acidianus hospitalis,1
Acidianus filamentous virus 1,Acidianus infernus,1
Acidianus filamentous virus 2,Acidianus pozzuoliensis,2
Acidianus filamentous virus 6,Acidianus convivator,1
Acidianus filamentous virus 7,Acidianus convivator,1
Acidianus filamentous virus 8,Acidianus convivator,1
Acidianus filamentous virus 9,Acidianus uzoniensis,2
Acidianus spindle-shaped virus 1,Acidianus brierleyi,2
Acidianus tailed spindle virus,Acidianus,2
Acidianus two-tailed virus,Acidianus convivator,1
Acidianus two-tailed virus 2,Saccharolobus solfataricus,1
Acidianus two-tailed virus variant 1,Acidianus convivator,1
Acidithiobacillus phage AcaML1,Acidithiobacillus caldus,2
Acidithiobacillus phage AcaML1,Acidithiobacillus caldus ATCC 51756,1
Acidovorax phage ACF1,Acidovorax citrulli,1
Acidovorax phage ACPWH,Acidovorax citrulli,1
Acidovorax virus ACP17,Acidovorax citrulli,2
Acinetobacter phage 4316,Acinetobacter baumannii,1
Acinetobacter phage 53,Acinetobacter baumannii,1
Acinetobacter phage 5W,Acinetobacter baumannii,1
Acinetobacter phage AB-Navy1,Acinetobacter baumannii,1
Acinetobacter phage AB-Navy71,Acinetobacter baumannii,1
Acinetobacter phage AB-Navy97,Acinetobacter baumannii,1
Acinetobacter phage ABP-01,Acinetobacter baumannii,1
Acinetobacter phage ABP-04,Acinetobacter baumannii,1
Acinetobacter phage ABPH49,Acinetobacter baumannii,1
Acinetobacter phage AB_SZ6,Acinetobacter baumannii,1
Acinetobacter phage AC4,Acinetobacter baumannii,1
Acinetobacter phage AIIMS-AbE5-RC,Acinetobacter baumannii,1
Acinetobacter phage AJO1,Acinetobacter johnsonii,10
Acinetobacter phage AJO2,Acinetobacter johnsonii,19
Acinetobacter phage AM106,Acinetobacter baumannii NIPH 329,1
Acinetobacter phage AM24,Acinetobacter baumannii,1
Acinetobacter phage APK09,Acinetobacter baumannii,1
Acinetobacter phage APK127v,Acinetobacter baumannii,1
Acinetobacter phage APK15,Acinetobacter baumannii,1
Acinetobacter phage APK16,Acinetobacter baumannii,1
Acinetobacter phage APK20,Acinetobacter baumannii,1
Acinetobacter phage APK37,Acinetobacter baumannii,1
Acinetobacter phage APK77,Acinetobacter baumannii,1
Acinetobacter phage APK86,Acinetobacter baumannii,1
Acinetobacter phage Ab105-1phi,Acinetobacter baumannii,1
Acinetobacter phage Ab105-2phi,Acinetobacter baumannii,1
Acinetobacter phage Ab105-2phideltaCI404ad,Acinetobacter baumannii,1
Acinetobacter phage Ab105-3phi,Acinetobacter baumannii,1
Acinetobacter phage Ab11510-phi,Acinetobacter baumannii,1
Acinetobacter phage Ab124,Acinetobacter baumannii,1
Acinetobacter phage Ab1656-2,Acinetobacter baumannii 1656-2,1
Acinetobacter phage AbTJ,Acinetobacter baumannii MDR-TJ,3
Acinetobacter phage AbTP3phi1,Acinetobacter baumannii,1
Acinetobacter phage Ab_121,Acinetobacter baumannii,1
Acinetobacter phage Ab_SZ3,Acinetobacter baumannii,1
Acinetobacter phage Abp53,Acinetobacter baumannii,1
Acinetobacter phage Abp9,Acinetobacter,1
Acinetobacter phage Abp95,Acinetobacter baumannii,1
Acinetobacter phage AbpL,Acinetobacter baumannii,1
Acinetobacter phage Abraxas,Acinetobacter baumannii,1
Acinetobacter phage Ac42,Acinetobacter,2
Acinetobacter phage Arbor,Acinetobacter baumannii,1
Acinetobacter phage Aristophanes,Acinetobacter baumannii,1
Acinetobacter phage BM12,Acinetobacter baumannii,1
Acinetobacter phage BS46,Acinetobacter baumannii,1
Acinetobacter phage BUCT628,Acinetobacter sp.,1
Acinetobacter phage BUCT629,Acinetobacter baumannii,1
Acinetobacter phage Barton,Acinetobacter calcoaceticus,1
Acinetobacter phage Bestia,Acinetobacter baumannii,1
Acinetobacter phage Bphi-R1888,Acinetobacter baumannii,1
Acinetobacter phage Bphi-R2919,Acinetobacter baumannii,1
Acinetobacter phage Brutus,Acinetobacter baumannii,1
Acinetobacter phage Cato,Acinetobacter baumannii,1
Acinetobacter phage DMU1,Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841,1
Acinetobacter phage Effie,Acinetobacter calcoaceticus,1
Acinetobacter phage Henu6,Acinetobacter baumannii,1
Acinetobacter phage Herod,Acinetobacter baumannii,1
Acinetobacter phage JeffCo,Acinetobacter calcoaceticus,1
Acinetobacter phage Liucustia,Acinetobacter baumannii,1
Acinetobacter phage MD-2021a,Acinetobacter,394
Acinetobacter phage MD-2021b,Acinetobacter,6
Acinetobacter phage MRABP9,Acinetobacter baumannii,1
Acinetobacter phage Maestro,Acinetobacter baumannii,1
Acinetobacter phage Melin,Acinetobacter baumannii,1
Acinetobacter phage Meroveus,Acinetobacter baumannii,1
Acinetobacter phage Minot,Acinetobacter baumannii,1
Acinetobacter phage Mithridates,Acinetobacter baumannii,1
Acinetobacter phage Mokit,Acinetobacter baumannii,1
Acinetobacter phage Morttis,Acinetobacter baumannii,1
Acinetobacter phage Octan,Acinetobacter baumannii,1
Acinetobacter phage PBAB08,Acinetobacter baumannii,1
Acinetobacter phage PBAB25,Acinetobacter baumannii,1
Acinetobacter phage Paty,Acinetobacter baumannii,1
Acinetobacter phage PhaR5,Acinetobacter baumannii,1
Acinetobacter phage Phab24,Acinetobacter baumannii,1
Acinetobacter phage Pipo,Acinetobacter baumannii,1
Acinetobacter phage RL-2015,Acinetobacter baumannii,25
Acinetobacter phage SH-Ab 15497,Acinetobacter baumannii,1
Acinetobacter phage SH-Ab 15599,Acinetobacter baumannii,1
Acinetobacter phage SHI,Acinetobacter baumannii,1
Acinetobacter phage Scipio,Acinetobacter baumannii,1
Acinetobacter phage Stupor,Acinetobacter baumannii,1
Acinetobacter phage TAC1,Acinetobacter baumannii,1
Acinetobacter phage TaPaz,Acinetobacter baumannii,1
Acinetobacter phage VB_ApiP_XC38,Acinetobacter pittii,2
Acinetobacter phage YC#06,Acinetobacter baumannii,1
Acinetobacter phage YMC11/12/R1215,Acinetobacter sp.,1
Acinetobacter phage YMC11/12/R2315,Acinetobacter sp.,2
Acinetobacter phage YMC13/03/R2096,Acinetobacter baumannii,2
Acinetobacter phage ZaA-2018a,Acinetobacter baumannii,1
Acinetobacter phage ZaA-2018b,Acinetobacter baumannii,1
Acinetobacter phage fEg-Aba01,Acinetobacter baumannii,1
Acinetobacter phage fLi-Aba02,Acinetobacter baumannii,1
Acinetobacter phage fLi-Aba03,Acinetobacter baumannii,1
Acinetobacter phage nACB1,Acinetobacter beijerinckii,1
Acinetobacter phage nACB2,Acinetobacter halotolerans,1
Acinetobacter phage phiAB11,Acinetobacter baumannii,1
Acinetobacter phage phiAB182,Acinetobacter baumannii,1
Acinetobacter phage phiAB2,Acinetobacter baumannii,7
Acinetobacter phage phiAC-1,Acinetobacter soli,2
Acinetobacter phage vB_Ab4_Hep4,Acinetobacter baumannii,1
Acinetobacter phage vB_AbM_WUPSU,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaA_fBenAci001,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaA_fBenAci002,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaA_fBenAci003,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaM_ ABPW7,Acinetobacter sp.,1
Acinetobacter phage vB_AbaM_Acibel004,Acinetobacter baumannii,2
Acinetobacter phage vB_AbaM_B9,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaM_BP10,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaM_CP14,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaM_D22,Acinetobacter sp.,1
Acinetobacter phage vB_AbaM_DP45,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaM_IME284,Acinetobacter,1
Acinetobacter phage vB_AbaM_IME285,Acinetobacter,1
Acinetobacter phage vB_AbaM_IME512,Acinetobacter,1
Acinetobacter phage vB_AbaM_P1,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaM_phiAbaA1,Acinetobacter baumannii,2
Acinetobacter phage vB_AbaP_100,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_ABWU2101,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK116,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK128,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK14,Acinetobacter baumannii AB5256,1
Acinetobacter phage vB_AbaP_APK2,Acinetobacter baumannii ACICU,1
Acinetobacter phage vB_AbaP_APK2-2,Acinetobacter baumannii ACICU,1
Acinetobacter phage vB_AbaP_APK26,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK32,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK37,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK44,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK48,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK48-3,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK81,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK87,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK89,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_APK93,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_Alexa,Acinetobacter baumannii NIPH 201,1
Acinetobacter phage vB_AbaP_CEB1,Acinetobacter,2
Acinetobacter phage vB_AbaP_CEB1,Acinetobacter baumannii,2
Acinetobacter phage vB_AbaP_CEB2,Acinetobacter,1
Acinetobacter phage vB_AbaP_D2M,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_HB01,Acinetobacter,1
Acinetobacter phage vB_AbaP_IME546,Acinetobacter baumannii,2
Acinetobacter phage vB_AbaP_PMK34,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_WU2001,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaP_ZHSHW,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaS_D0,Acinetobacter,1
Acinetobacter phage vB_AbaS_TCUP2199,Acinetobacter baumannii,1
Acinetobacter phage vB_AbaS_TRS1,Acinetobacter baumannii A118,2
Acinetobacter phage vB_Api_3043-K38,Acinetobacter pittii,1
Acinetobacter phage vB_IME_Ab2712,Acinetobacter baumannii,1
Acinetobacter phage vB_phiAcib_BQ1,Acinetobacter baumannii,1
Acinetobacter phage vB_phiAcib_BQ2,Acinetobacter baumannii,1
Acinetobacter phage vB_phiAcib_BQ3,Acinetobacter baumannii,1
Acinetobacter phage vB_phiAcib_BQ4,Acinetobacter baumannii,1
Acinetobacter virus 133,Acinetobacter johnsonii,2
Acinetobacter virus AB1,Acinetobacter baumannii,2
Acinetobacter virus AB2,Acinetobacter baumannii,2
Acinetobacter virus AB3,Acinetobacter baumannii,2
Acinetobacter virus AM101,Acinetobacter baumannii,2
Acinetobacter virus AP22,Acinetobacter baumannii,6
Acinetobacter virus AS11,Acinetobacter baumannii,2
Acinetobacter virus AS12,Acinetobacter baumannii,2
Acinetobacter virus AbC62,Acinetobacter baumannii,2
Acinetobacter virus AbKT21III,Acinetobacter baumannii,2
Acinetobacter virus AbP2,Acinetobacter baumannii,2
Acinetobacter virus AbTZA1,Acinetobacter baumannii,2
Acinetobacter virus Abp1,Acinetobacter baumannii,2
Acinetobacter virus Aci01-1,Acinetobacter baumannii,2
Acinetobacter virus Aci02-2,Acinetobacter baumannii,2
Acinetobacter virus Aci05,Acinetobacter baumannii,2
Acinetobacter virus Aci07,Acinetobacter baumannii,2
Acinetobacter virus Aci08,Acinetobacter baumannii,2
Acinetobacter virus Acibel007,Acinetobacter baumannii,2
Acinetobacter virus Acj61,Acinetobacter johnsonii,2
Acinetobacter virus Acj9,Acinetobacter johnsonii,2
Acinetobacter virus Apostate,Acinetobacter baumannii,2
Acinetobacter virus B1,Acinetobacter baumannii,2
Acinetobacter virus B1251,Acinetobacter baumannii,2
Acinetobacter virus B3,Acinetobacter baumannii,2
Acinetobacter virus B5,Acinetobacter baumannii,2
Acinetobacter virus Berthold,Acinetobacter baumannii,2
Acinetobacter virus D2,Acinetobacter baumannii,2
Acinetobacter virus Fri1,Acinetobacter baumannii,2
Acinetobacter virus IME200,Acinetobacter baumannii,2
Acinetobacter virus IMEAB3,Acinetobacter baumannii,2
Acinetobacter virus KARL1,Acinetobacter baumannii,2
Acinetobacter virus Kimel,Acinetobacter baumannii,2
Acinetobacter virus Konradin,Acinetobacter baumannii,2
Acinetobacter virus LZ35,Acinetobacter baumannii,2
Acinetobacter virus Lazarus,Acinetobacter baumannii,2
Acinetobacter virus Loki,Acinetobacter baumannii ATCC 17978,2
Acinetobacter virus ME3,Acinetobacter baumannii,2
Acinetobacter virus P1,Acinetobacter pittii,2
Acinetobacter virus P2,Acinetobacter pittii,2
Acinetobacter virus PD6A3,Acinetobacter baumannii,2
Acinetobacter virus PDAB9,Acinetobacter baumannii,2
Acinetobacter virus Petty,Acinetobacter,1
Acinetobacter virus Petty,Acinetobacter baumannii,2
Acinetobacter virus PhT2,Acinetobacter baumannii,2
