Species,Collection_Date,Count
Potato virus Y,1938.0,2
Koala retrovirus,1938.0,3
Japanese encephalitis virus,1939.0,2
Citrus leprosis virus C,1939.0,9
Rabies lyssavirus,1939.0,3
Influenza B virus,1940.0,11
Influenza A virus,1940.0,23
Potato virus X,1940.0,5
Grapevine red blotch virus,1940.0,6
Anopheles A orthobunyavirus,1940.0,3
Anopheles B orthobunyavirus,1940.0,3
African horse sickness virus,1940.0,10
Wyeomyia orthobunyavirus,1940.0,9
Barley yellow dwarf virus PAV,1940.0,2
Equid alphaherpesvirus 1,1941.0,1
Western equine encephalitis virus,1941.0,5
Bluetongue virus,1941.0,43
Tick-borne encephalitis virus,1941.0,3
Citrus leprosis virus C,1941.0,6
Avian coronavirus,1941.0,22
Yellow fever virus,1941.0,1
Tick-borne encephalitis virus,1942.0,3
Semliki Forest virus,1942.0,3
Enterovirus C,1942.0,1
Cardiovirus A,1942.0,1
Bluetongue virus,1942.0,43
Influenza A virus,1942.0,36
Influenza A virus,1943.0,44
Japanese encephalitis virus,1943.0,1
Tick-borne encephalitis virus,1943.0,5
California encephalitis orthobunyavirus,1943.0,8
Bluetongue virus,1943.0,11
Bunyamwera orthobunyavirus,1943.0,3
Cauliflower mosaic virus,1943.0,7
Potato virus Y,1943.0,4
Colorado tick fever coltivirus,1943.0,13
Ntaya virus,1943.0,1
Foot-and-mouth disease virus,1943.0,1
Cardiovirus A,1944.0,1
Bluetongue virus,1944.0,32
Rift Valley fever phlebovirus,1944.0,9
Naples virus,1944.0,4
Foot-and-mouth disease virus,1944.0,2
Avian orthoavulavirus 1,1944.0,2
Dengue virus,1944.0,8
Broad bean wilt virus 1,1945.0,2
Influenza A virus,1945.0,11
Avian orthoavulavirus 1,1945.0,1
Goatpox virus,1946.0,28
Japanese encephalitis virus,1946.0,2
Influenza A virus,1946.0,36
Avian orthoavulavirus 1,1946.0,12
Yellow fever virus,1946.0,1
Western equine encephalitis virus,1946.0,3
Variola virus,1946.0,2
Variola virus,1947.0,3
Apis mellifera filamentous virus,1947.0,1
Foot-and-mouth disease virus,1947.0,2
Avian orthoavulavirus 1,1947.0,3
Influenza C virus,1947.0,7
Lymphocytic choriomeningitis mammarenavirus,1947.0,4
Equine infectious anemia virus,1947.0,1
Zika virus,1947.0,10
Influenza A virus,1947.0,46
Japanese encephalitis virus,1947.0,2
Murine coronavirus,1947.0,19
Influenza A virus,1948.0,33
Trivittatus orthobunyavirus,1948.0,8
Omsk hemorrhagic fever virus,1948.0,1
Japanese encephalitis virus,1948.0,2
Rabies lyssavirus,1948.0,10
Lyssavirus rabies,1948.0,5
Avian orthoavulavirus 1,1948.0,14
Variola virus,1948.0,1
Mammalian 1 orthobornavirus,1948.0,5
Foot-and-mouth disease virus,1948.0,1
Citrus leprosis virus,1948.0,5
Enterovirus A,1949.0,1
Japanese encephalitis virus,1949.0,4
Myxoma virus,1949.0,339
Lyssavirus rabies,1949.0,10
Enterovirus B,1949.0,1
Fowl aviadenovirus A,1949.0,38
Influenza A virus,1949.0,62
African swine fever virus,1949.0,197
Lymphocytic choriomeningitis mammarenavirus,1949.0,2
Rinderpest morbillivirus,1949.0,14
Myxoma virus,1950.0,169
Influenza A virus,1950.0,41
Western equine encephalitis virus,1950.0,2
Mumps orthorubulavirus,1950.0,1
Japanese encephalitis virus,1950.0,1
Influenza C virus,1950.0,5
Rabies lyssavirus,1950.0,7
Saint Louis encephalitis virus,1950.0,1
Avian orthoavulavirus 1,1950.0,3
Foot-and-mouth disease virus,1950.0,2
Pichia membranifaciens virus L-A,1951.0,2
Myxoma virus,1951.0,165
Avian orthoavulavirus 1,1951.0,7
Human alphaherpesvirus 1,1951.0,144
Pestivirus C,1951.0,2
Influenza A virus,1951.0,68
Variola virus,1951.0,2
Rift Valley fever phlebovirus,1951.0,10
Japanese encephalitis virus,1951.0,1
Eastern equine encephalitis virus,1951.0,2
Avian coronavirus,1951.0,1
Tick-borne encephalitis virus,1951.0,2
Bluetongue virus,1952.0,12
Alphacoronavirus 1,1952.0,9
Sindbis virus,1952.0,5
Japanese encephalitis virus,1952.0,2
Variola virus,1952.0,1
Spondweni virus,1952.0,1
Tick-borne encephalitis virus,1952.0,2
Enterovirus C,1952.0,2
Wad Medani virus,1952.0,24
Qualyub virus,1952.0,3
Foot-and-mouth disease virus,1952.0,1
Vibrio phage 11895-B1,1952.0,392
African horse sickness virus,1952.0,10
Qalyub orthonairovirus,1952.0,6
Enterovirus A,1952.0,1
Myxoma virus,1952.0,335
Tick-borne encephalitis virus,1953.0,1
West Nile virus,1953.0,1
Saint Louis encephalitis virus,1953.0,1
Avian coronavirus,1953.0,1
Influenza A virus,1953.0,34
Vaccinia virus,1953.0,229
Lamium mild mosaic virus,1953.0,12
Hepacivirus C,1953.0,2
Dengue virus,1953.0,2
Myxoma virus,1953.0,167
Human mastadenovirus C,1953.0,75
Variola virus,1953.0,2
Human mastadenovirus E,1953.0,38
Foot-and-mouth disease virus,1953.0,2
Chikungunya virus,1953.0,4
Semliki Forest virus,1953.0,2
Quaranjavirus quaranfilense,1953.0,6
unidentified adenovirus,1953.0,89
Eastern equine encephalitis virus,1953.0,2
Bluetongue virus,1953.0,34
Rinderpest morbillivirus,1953.0,7
Western equine encephalitis virus,1953.0,3
Sindbis virus,1953.0,2
Mayaro virus,1954.0,2
Marituba orthobunyavirus,1954.0,20
Oriboca orthobunyavirus,1954.0,20
Manzanilla orthobunyavirus,1954.0,3
Measles morbillivirus,1954.0,1
Influenza A virus,1954.0,45
Wad Medani virus,1954.0,12
Yellow fever virus,1954.0,1
Lumpy skin disease virus,1954.0,160
Mumps orthorubulavirus,1954.0,3
Sindbis virus,1954.0,1
Nairobi sheep disease orthonairovirus,1954.0,2
Bhanja bandavirus,1954.0,8
Influenza C virus,1954.0,9
Avian coronavirus,1954.0,12
Chenuda virus,1954.0,24
Tick-borne encephalitis virus,1954.0,2
Rabies lyssavirus,1954.0,1
Ganjam virus,1954.0,3
Wanowrie virus,1954.0,3
Turlock orthobunyavirus,1954.0,4
Human mastadenovirus A,1954.0,35
Myxoma virus,1954.0,338
Rinderpest morbillivirus,1954.0,14
African swine fever virus,1954.0,1
Yellow fever virus,1955.0,2
Sindbis virus,1955.0,1
Omsk hemorrhagic fever virus,1955.0,1
Hart Park hapavirus,1955.0,22
Wyeomyia orthobunyavirus,1955.0,6
Melao orthobunyavirus,1955.0,8
Turlock orthobunyavirus,1955.0,9
Human mastadenovirus D,1955.0,276
Rift Valley fever phlebovirus,1955.0,27
West Nile virus,1955.0,2
Foot-and-mouth disease virus,1955.0,2
Bwamba orthobunyavirus,1955.0,6
Apeu orthobunyavirus,1955.0,8
Spondweni virus,1955.0,1
Getah virus,1955.0,7
Madariaga virus,1955.0,2
Simian adenovirus 2,1955.0,37
Avian orthoavulavirus 1,1955.0,1
Guama orthobunyavirus,1955.0,6
Saint Louis encephalitis virus,1955.0,3
Bluetongue virus,1955.0,31
Anopheles A orthobunyavirus,1955.0,6
Brucella virus Tb,1955.0,174
Aruac virus,1955.0,8
Mayaro virus,1955.0,11
Marituba orthobunyavirus,1955.0,16
Catu orthobunyavirus,1955.0,6
Wesselsbron virus,1955.0,6
Tomato black ring virus,1955.0,2
Tacaiuma orthobunyavirus,1955.0,6
Human mastadenovirus B,1955.0,37
Bimiti orthobunyavirus,1955.0,6
Epizootic hemorrhagic disease virus,1955.0,20
Oropouche orthobunyavirus,1955.0,4
Batai orthobunyavirus,1955.0,7
Myxoma virus,1955.0,338
Triniti orthobunyavirus,1955.0,3
Kairi orthobunyavirus,1955.0,4
Japanese encephalitis virus,1955.0,2
Human orthopneumovirus,1956.0,14
Chikungunya virus,1956.0,2
Caraparu orthobunyavirus,1956.0,20
Avian metaavulavirus 2,1956.0,14
Influenza A virus,1956.0,150
Navarro virus,1956.0,1
Getah virus,1956.0,2
Kern Canyon ledantevirus,1956.0,13
Myxoma virus,1956.0,169
Rabies lyssavirus,1956.0,21
Beet ringspot virus,1956.0,2
Goatpox virus,1956.0,1
Avian coronavirus,1956.0,14
Nairobi sheep disease orthonairovirus,1956.0,2
Bovine alphaherpesvirus 1,1956.0,76
Turlock orthobunyavirus,1956.0,7
Murray Valley encephalitis virus,1956.0,2
Crimean-Congo hemorrhagic fever orthonairovirus,1956.0,7
Rio Bravo virus,1956.0,1
Lebombo virus,1956.0,22
Japanese encephalitis virus,1956.0,3
Bakau orthobunyavirus,1956.0,8
Langat virus,1956.0,1
Bovine fever ephemerovirus,1956.0,1
Bluetongue virus,1956.0,31
Rift Valley fever phlebovirus,1956.0,5
Lagos bat lyssavirus,1956.0,12
Cache Valley orthobunyavirus,1956.0,8
Lyssavirus lagos,1956.0,5
Guaroa orthobunyavirus,1956.0,4
Human mastadenovirus D,1956.0,192
Madrid orthobunyavirus,1956.0,8
Vibrio phage vB_VchM-138,1956.0,134
Madariaga virus,1956.0,13
Simian adenovirus 2,1956.0,4
Lyssavirus rabies,1956.0,15
Human betaherpesvirus 5,1956.0,316
Sindbis virus,1956.0,1
Tacaribe mammarenavirus,1956.0,4
Spodoptera littoralis nucleopolyhedrovirus,1956.0,264
Dengue virus,1956.0,9
Hepatovirus A,1957.0,7
Dengue virus,1957.0,1
Kairi orthobunyavirus,1957.0,8
Marituba orthobunyavirus,1957.0,4
Ilheus virus,1957.0,1
Kyasanur Forest disease virus,1957.0,5
Teschovirus A,1957.0,1
Tomato black ring virus,1957.0,2
Heterobasidion partitivirus 14,1957.0,1
Anatid alphaherpesvirus 1,1957.0,77
Human mastadenovirus B,1957.0,38
Maguari orthobunyavirus,1957.0,14
Escherichia phage Lambda imm434,1957.0,75
Tick-borne encephalitis virus,1957.0,2
Bertioga orthobunyavirus,1957.0,6
Batai orthobunyavirus,1957.0,8
Human betaherpesvirus 5,1957.0,159
Turlock orthobunyavirus,1957.0,5
Human respirovirus 1,1957.0,6
Kaisodi uukuvirus,1957.0,13
Rabies lyssavirus,1957.0,1
Simian mastadenovirus A,1957.0,4
Potato virus Y,1957.0,1
Cercopithecine betaherpesvirus 5,1957.0,1
Simian adenovirus 17,1957.0,36
Influenza A virus,1957.0,315
Foot-and-mouth disease virus,1957.0,2
African swine fever virus,1957.0,10
West Nile virus,1957.0,3
Nyavirus nyamaniniense,1957.0,6
Mumps orthorubulavirus,1957.0,3
Enterovirus B,1957.0,6
Mayaro virus,1957.0,6
Wesselsbron virus,1957.0,9
Turnip rosette virus,1957.0,12
Staphylococcus phage 812,1957.0,659
Middelburg virus,1957.0,2
Bluetongue virus,1958.0,77
Simian adenovirus 5,1958.0,5
Simian adenovirus 8,1958.0,72
Bovine alphaherpesvirus 1,1958.0,70
La Joya hapavirus,1958.0,29
Mumps orthorubulavirus,1958.0,2
Tahyna orthobunyavirus,1958.0,11
Reticuloendotheliosis virus,1958.0,1
Enterovirus A,1958.0,1
Pacora virus,1958.0,4
Rotavirus A,1958.0,37
Powassan virus,1958.0,1
Cucurbitaria piceae virus 1,1958.0,2
Madariaga virus,1958.0,2
Simian mastadenovirus A,1958.0,12
Simian mastadenovirus D,1958.0,68
Kedougou virus,1958.0,1
San Angelo orthobunyavirus,1958.0,8
Human mastadenovirus G,1958.0,36
Lyssavirus rabies,1958.0,5
Clostridium phage D-1873,1958.0,145
Capim orthobunyavirus,1958.0,9
Witwatersrand orthobunyavirus,1958.0,8
Pestivirus C,1958.0,3
Human mastadenovirus B,1958.0,41
Rinderpest morbillivirus,1958.0,14
Japanese encephalitis virus,1958.0,3
Foot-and-mouth disease virus,1958.0,2
Chikungunya virus,1958.0,4
Tick-borne encephalitis virus,1958.0,9
Kyasanur Forest disease virus,1958.0,1
Simian adenovirus 12,1958.0,5
West Nile virus,1958.0,4
Spondweni virus,1958.0,9
Crimean-Congo hemorrhagic fever orthonairovirus,1958.0,3
Influenza A virus,1958.0,76
Human mastadenovirus D,1958.0,40
Apple stem grooving virus,1958.0,4
Potato virus Y,1958.0,1
Enterovirus C,1959.0,1
Bluetongue virus,1959.0,94
Sindbis virus,1959.0,3
Leptomonas seymouri Narna-like virus 1,1959.0,6
Changuinola virus,1959.0,10
African swine fever virus,1959.0,20
Mossuril hapavirus,1959.0,22
Ingwavuma orthobunyavirus,1959.0,6
Tick-borne encephalitis virus,1959.0,4
Enterovirus B,1959.0,4
Eastern equine encephalitis virus,1959.0,2
Karimabad phlebovirus,1959.0,4
Human mastadenovirus D,1959.0,116
Nyando orthobunyavirus,1959.0,8
Salehabad phlebovirus,1959.0,8
Cauliflower mosaic virus,1959.0,1
Marituba orthobunyavirus,1959.0,4
Wesselsbron virus,1959.0,4
African horse sickness virus,1959.0,4
Chikungunya virus,1959.0,3
Ndumu virus,1959.0,4
Snowshoe hare orthobunyavirus,1959.0,8
Israel turkey meningoencephalomyelitis virus,1959.0,1
Spondweni virus,1959.0,4
Influenza A virus,1959.0,63
Akabane orthobunyavirus,1959.0,5
Moju orthobunyavirus,1959.0,3
Tete orthobunyavirus,1959.0,9
Kyasanur Forest disease virus,1959.0,2
Madariaga virus,1959.0,2
Guajara orthobunyavirus,1959.0,6
Orungo virus,1959.0,22
Foot-and-mouth disease virus,1959.0,5
Usutu virus,1959.0,2
Ross River virus,1959.0,5
Epizootic hemorrhagic disease virus,1959.0,10
Avian orthoavulavirus 1,1959.0,6
Bushbush orthobunyavirus,1959.0,3
Lychnis ringspot virus,1959.0,7
Oriboca orthobunyavirus,1959.0,8
Lumpy skin disease virus,1959.0,157
Jamestown Canyon orthobunyavirus,1960.0,4
African horse sickness virus,1960.0,10
Sowthistle yellow vein betanucleorhabdovirus,1960.0,1
Koongol orthobunyavirus,1960.0,9
Chikungunya virus,1960.0,2
Kyasanur Forest disease virus,1960.0,1
La Crosse orthobunyavirus,1960.0,4
Avian coronavirus,1960.0,35
Icoaraci phlebovirus,1960.0,8
Ananindeua orthobunyavirus,1960.0,3
Enterovirus B,1960.0,2
Bluetongue virus,1960.0,53
Omsk hemorrhagic fever virus,1960.0,1
Cucumber vein yellowing virus,1960.0,1
Macacine alphaherpesvirus 1,1960.0,75
Influenza A virus,1960.0,45
Madariaga virus,1960.0,2
Piry vesiculovirus,1960.0,12
West Nile virus,1960.0,8
Spondweni virus,1960.0,1
Guaroa orthobunyavirus,1960.0,10
Mammalian 1 orthobornavirus,1960.0,6
Batai orthobunyavirus,1960.0,3
Saint Louis encephalitis virus,1960.0,1
Yellow fever virus,1960.0,1
Highlands J virus,1960.0,4
Mapputta orthobunyavirus,1960.0,6
Wesselsbron virus,1960.0,1
Mayaro virus,1960.0,5
Foot-and-mouth disease virus,1960.0,7
Turnip mosaic virus,1960.0,1
Oropouche orthobunyavirus,1960.0,11
Citrus tristeza virus,1960.0,1
Japanese encephalitis virus,1960.0,2
Tick-borne encephalitis virus,1960.0,10
Eastern equine encephalitis virus,1960.0,4
African swine fever virus,1960.0,334
Sindbis virus,1960.0,4
Human immunodeficiency virus 1,1960.0,71
Mumps orthorubulavirus,1960.0,6
Alphaarterivirus equid,1960.0,9
Silverwater uukuvirus,1960.0,8
Corriparta virus,1960.0,24
Lanjan virus,1960.0,1
Crimean-Congo hemorrhagic fever orthonairovirus,1960.0,3
Tensaw orthobunyavirus,1960.0,4
Dengue virus,1960.0,4
Cocal vesiculovirus,1961.0,10
Dengue virus,1961.0,2
Foot-and-mouth disease virus,1961.0,1
African swine fever virus,1961.0,12
Acara orthobunyavirus,1961.0,3
I612045 virus,1961.0,3
Cotia virus,1961.0,371
Influenza A virus,1961.0,44
Jamestown Canyon orthobunyavirus,1961.0,12
Zegla orthobunyavirus,1961.0,12
Mayaro virus,1961.0,3
Eastern equine encephalitis virus,1961.0,2
Raccoonpox virus,1961.0,1
Pacui pacuvirus,1961.0,6
Rinderpest morbillivirus,1961.0,28
Bacillus phage SP8,1961.0,209
Mumps orthorubulavirus,1961.0,3
Sindbis virus,1961.0,1
Turnip mosaic virus,1961.0,3
Monkeypox virus,1961.0,1
Alphaarterivirus equid,1961.0,9
Western equine encephalitis virus,1961.0,2
Oropouche orthobunyavirus,1961.0,18
Cat Que orthobunyavirus,1961.0,3
Madrid orthobunyavirus,1961.0,8
Alphapapillomavirus 9,1961.0,1
African horse sickness virus,1961.0,94
Rubivirus rubellae,1961.0,4
Venezuelan equine encephalitis virus,1961.0,9
Gabek phlebovirus,1961.0,8
Yellow fever virus,1961.0,5
Matruh orthobunyavirus,1961.0,3
Patois orthobunyavirus,1961.0,4
Enterovirus C,1961.0,1
Matariya virus,1961.0,8
Changuinola virus,1961.0,42
Sunrhavirus matariya,1961.0,6
Nairobi sheep disease orthonairovirus,1961.0,9
Human orthopneumovirus,1961.0,7
Apeu orthobunyavirus,1961.0,4
Buttonwillow orthobunyavirus,1961.0,4
Cache Valley orthobunyavirus,1961.0,9
Sororoca orthobunyavirus,1961.0,6
Goatpox virus,1961.0,5
Enterovirus B,1961.0,4
Pixuna virus,1961.0,2
Kokobera virus,1961.0,3
Tick-borne encephalitis virus,1961.0,1
Flanders hapavirus,1961.0,24
Venezuelan equine encephalitis virus,1962.0,6
Gamboa orthobunyavirus,1962.0,4
Chikungunya virus,1962.0,5
Barur ledantevirus,1962.0,11
Influenza A virus,1962.0,14
Nairobi sheep disease orthonairovirus,1962.0,11
Nariva narmovirus,1962.0,16
Saint Louis encephalitis virus,1962.0,2
Tahyna orthobunyavirus,1962.0,4
Itaporanga phlebovirus,1962.0,8
Changuinola virus,1962.0,10
Oak looper alphabaculovirus,1962.0,1
Suid alphaherpesvirus 1,1962.0,3
Omsk hemorrhagic fever virus,1962.0,2
Rift Valley fever phlebovirus,1962.0,7
Rinderpest morbillivirus,1962.0,22
Avian coronavirus,1962.0,14
Enterovirus D,1962.0,3
Great Island virus,1962.0,15
Sindbis virus,1962.0,2
Avian orthoavulavirus 1,1962.0,3
African swine fever virus,1962.0,4
Enterovirus B,1962.0,3
Epizootic hemorrhagic disease virus,1962.0,10
Mumps orthorubulavirus,1962.0,9
Chaco sripuvirus,1962.0,18
African horse sickness virus,1962.0,281
Jurona vesiculovirus,1962.0,12
Pestivirus A,1962.0,1
Louping ill virus,1962.0,1
Tick-borne encephalitis virus,1962.0,2
Dengue virus,1962.0,7
Lumbo orthbunyavirus,1962.0,8
Bushbush orthobunyavirus,1962.0,3
Piscine novirhabdovirus,1962.0,12
Burg el Arab virus,1962.0,14
Tanga virus,1962.0,3
Bovine alphaherpesvirus 5,1962.0,1
Lymphocystis disease virus 1,1962.0,1
Lyssavirus rabies,1962.0,5
Kyasanur Forest disease virus,1962.0,3
Timbo virus,1962.0,1
Zika virus,1962.0,1
Eastern equine encephalitis virus,1962.0,3
Bovine rhinitis A virus,1962.0,14
Hughes orthonairovirus,1962.0,9
Madariaga virus,1962.0,4
Cotia virus,1962.0,185
Foot-and-mouth disease virus,1962.0,6
Bujaru phlebovirus,1962.0,8
Batai orthobunyavirus,1962.0,8
Klamath tupavirus,1962.0,18
Anatid alphaherpesvirus 1,1962.0,80
Human orthopneumovirus,1962.0,14
Marco hapavirus,1962.0,16
Bunyamwera orthobunyavirus,1962.0,10
Anhanga phlebovirus,1962.0,8
Anopheles B orthobunyavirus,1962.0,3
Magpiepox virus 2,1962.0,419
Kammavanpettai virus,1963.0,11
Enterovirus B,1963.0,2
Patois orthobunyavirus,1963.0,13
Kannamangalam virus,1963.0,1
Nyando orthobunyavirus,1963.0,4
La Crosse orthobunyavirus,1963.0,2
Jamestown Canyon orthobunyavirus,1963.0,4
Sathuvachari virus,1963.0,10
Kyasanur Forest disease virus,1963.0,2
Avian coronavirus,1963.0,1
Tick-borne encephalitis virus,1963.0,11
African horse sickness virus,1963.0,61
Enterovirus A,1963.0,2
Pseudaletia betabaculovirus,1963.0,1
Marituba orthobunyavirus,1963.0,16
Zika virus,1963.0,1
Peridroma alphabaculovirus,1963.0,1
BeAn 58058 virus,1963.0,420
West Nile virus,1963.0,11
Argentinian mammarenavirus,1963.0,2
Malakal virus,1963.0,21
Dakar bat virus,1963.0,1
Akabane orthobunyavirus,1963.0,4
Lyssavirus rabies,1963.0,5
Balagodu virus,1963.0,3
Japanese encephalitis virus,1963.0,1
Obodhiang ephemerovirus,1963.0,1
African swine fever virus,1963.0,2
Arumowot phlebovirus,1963.0,4
Mumps orthorubulavirus,1963.0,9
Bacillus virus SP15,1963.0,634
Tensaw orthobunyavirus,1963.0,10
Rinderpest morbillivirus,1963.0,1
Alajuela orthobunyavirus,1963.0,8
Louping ill virus,1963.0,1
Bacillus phage AP631,1963.0,56
Rift Valley fever phlebovirus,1963.0,2
Omsk hemorrhagic fever virus,1963.0,2
Dengue virus,1963.0,11
Thimiri orthobunyavirus,1963.0,4
Kowanyama virus,1963.0,4
Henbane mosaic virus,1963.0,1
Soldado orthonairovirus,1963.0,6
Flanders hapavirus,1963.0,1
Chikungunya virus,1963.0,6
Potato virus Y,1963.0,2
Vesicular stomatitis virus,1963.0,2
Choristoneura viridis betabaculovirus,1963.0,1
Changuinola virus,1963.0,10
Acado virus,1963.0,11
Hepatitis B virus,1963.0,140
Simian adenovirus 19,1963.0,72
Venezuelan equine encephalitis virus,1963.0,7
Choristoneura murinana nucleopolyhedrovirus,1963.0,1
Ungulate protoparvovirus 1,1963.0,3
Calovo virus,1963.0,4
Uukuniemi uukuvirus,1963.0,4
Eubenangee virus,1963.0,20
Influenza A virus,1963.0,201
Highlands J virus,1963.0,2
Turnip mosaic virus,1963.0,2
Broad bean wilt virus 1,1963.0,1
Bukalasa bat virus,1963.0,1
Foot-and-mouth disease virus,1963.0,3
Tahyna orthobunyavirus,1963.0,20
Citrus tristeza virus,1963.0,2
Human coronavirus 229E,1963.0,1
Escherichia virus JLK2012,1963.0,158
Turlock orthobunyavirus,1963.0,12
Sindbis virus,1963.0,9
Abu Mina orthonairovirus,1963.0,3
Human respirovirus 3,1963.0,16
Escherichia virus Qbeta,1963.0,6
Dugbe orthonairovirus,1964.0,3
Chikungunya virus,1964.0,2
Epsilonarterivirus hemcep,1964.0,26
Buttonwillow orthobunyavirus,1964.0,6
Henbane mosaic virus,1964.0,1
Alphaarterivirus equid,1964.0,2
Keystone orthobunyavirus,1964.0,8
Influenza A virus,1964.0,50
Manawa virus,1964.0,4
Gamboa orthobunyavirus,1964.0,4
Mammalian orthorubulavirus 5,1964.0,8
Highlands J virus,1964.0,2
Rift Valley fever phlebovirus,1964.0,1
Sawgrass sawgrhavirus,1964.0,10
Alagoas vesiculovirus,1964.0,10
Raccoonpox virus,1964.0,630
Okola virus,1964.0,3
Wyeomyia orthobunyavirus,1964.0,3
Alcelaphine gammaherpesvirus 1,1964.0,69
Buenaventura phlebovirus,1964.0,8
Variola virus,1964.0,1
Kwatta sunrhavirus,1964.0,15
Thottopalayam thottimvirus,1964.0,4
Acara orthobunyavirus,1964.0,3
Bunyamwera orthobunyavirus,1964.0,1
Streptococcus phage T12,1964.0,130
Venezuelan equine encephalitis virus,1964.0,2
Cauliflower mosaic virus,1964.0,2
Mumps orthorubulavirus,1964.0,16
Kyasanur Forest disease virus,1964.0,2
Dengue virus,1964.0,24
Carnivore protoparvovirus 1,1964.0,4
