Species,Host,Count
Acanthocystis turfacea Chlorella virus MO3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NE-JV-2,Chlorella heliozoae,344
Acanthocystis turfacea Chlorella virus NE-JV-3,Chlorella heliozoae,327
Acanthocystis turfacea Chlorella virus NPRLb,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NPRma,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NPRsb,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NTS-1,Chlorella heliozoae,357
Acanthocystis turfacea Chlorella virus NY-2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NY-2s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NY2m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus NY2s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus OH-S,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus OR0704.3,Chlorella heliozoae,332
Acanthocystis turfacea Chlorella virus Or0704,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Pl_R_Lma,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Pl_R_OLa,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus SPRLa,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus SPRma,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus SPRsb,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Smith-Lake_Large-Plaque,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Smith-Lake_Medium-Plaque,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Smith-Lake_Small-Plaque,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Smith_L_La,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Somers_MT_L3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Somers_MT_m1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TN603,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TN603.4.2,Chlorella heliozoae,339
Acanthocystis turfacea Chlorella virus TX3-L1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TX3-L2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TX3m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus TX3s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Verbena_VA_L4,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Verbena_VA_m1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus Verbena_VA_s3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus WI0606,Chlorella heliozoae,321
Acanthocystis turfacea Chlorella virus WR_DE,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus WR_DE_s2cr2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_1.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_1.2m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_1.2s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_10.1L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_10.1s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_10.1s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_11.1m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_12.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_12.3L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_12.3s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_13.1L1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_13.1L2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_13.1s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_14.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_14.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_14.3,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_3.1s,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_5.1L1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_5.1L2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_5.1s1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_6.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_6.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_7.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_8.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus mid_9.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_1.2m1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_1.2m2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_3.1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_4.1L1,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_4.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_5.2L,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_5.3m,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_5.3s2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_7.2,Chlorella heliozoae,1
Acanthocystis turfacea Chlorella virus up_8.1,Chlorella heliozoae,1
Acanthocystis turfacea chlorella virus 1,Chlorella heliozoae,1721
Acanthurus bariene nervous necrosis virus,Acanthurus bariene,1
Acanthurus dussumieri iridovirus,Acanthurus dussumieri,1
Acara orthobunyavirus,Culex amazonensis,3
Acara orthobunyavirus,Mus musculus,3
Acartia tonsa copepod circovirus,Acartia tonsa,4
Acaryochloris phage A-HIS1,Acaryochloris,2
Acaryochloris phage A-HIS1,Acaryochloris marina,95
Acaryochloris phage A-HIS2,Acaryochloris,2
Acaryochloris phage A-HIS2,Acaryochloris marina,104
Accipiter gentilis Genomoviridae sp.,Accipiter gentilis,2
Accipiter gentilis parvo-like hybrid virus,Accipiter gentilis,2
Accipiter gentilis parvoviridae sp.,Accipiter gentilis,1
Acer pseudosieboldianum amalgavirus 1,Acer pseudosieboldianum,2
Acerodon celebensis polyomavirus 1,Acerodon celebensis,8
Acerodon celebensis polyomavirus 2,Acerodon celebensis,8
Acetobacter phage phiAO1,Acetobacter orleanensis,40
Acetobacter phage phiAP1,Acetobacter pasteurianus,65
Acetobacter phage phiAX1,Acetobacter sp. ATCC 21760,72
Achaea faber nucleopolyhedrovirus,Achaea faber,4
Achaea janata granulovirus,Achaea janata,8
Acheta domesticus Iflavirus,Acheta domesticus,2
Acheta domesticus virus,Acheta domesticus,1
Acheta domesticus volvovirus,Acheta domesticus,17
Acheta domesticus volvovirus,Gryllus assimilis,4
Achimota pararubulavirus 1,Eidolon helvum,16
Achimota pararubulavirus 2,Eidolon helvum,16
Achimota pararubulavirus 3,Eidolon helvum,8
Acholeplasma virus L2,Acholeplasma laidlawii,16
Acholeplasma virus L2,Mycoplasma,14
Acholeplasma virus L2,Mycoplasma sp.,14
Acholeplasma virus L51,Acholeplasma,4
Acholeplasma virus L51,Acholeplasma laidlawii,4
Achromobacter phage AMA1,Achromobacter marplatensis,62
Achromobacter phage AMA2,Achromobacter marplatensis,68
Achromobacter phage AXY1,Achromobacter xylosoxidans,82
Achromobacter phage JWDelta,Achromobacter xylosoxidans,89
Achromobacter phage JWF,Achromobacter xylosoxidans,236
Achromobacter phage Mano,Achromobacter sp.,128
Achromobacter phage phiAxp-1,Achromobacter xylosoxidans,128
Achromobacter phage phiAxp-2,Achromobacter xylosoxidans,172
Achromobacter phage vB_AchrS_AchV4,Achromobacter,164
Achromobacter phage vB_Ade_ART,Achromobacter denitrificans,127
Achromobacter phage vB_AxyP_19-32_Axy09,Achromobacter xylosoxidans,49
Achromobacter phage vB_AxyP_19-32_Axy13,Achromobacter xylosoxidans,71
Achromobacter phage vB_AxyP_19-32_Axy21,Achromobacter xylosoxidans,49
Achromobacter phage vB_AxyP_19-32_Axy22,Achromobacter xylosoxidans,78
Achromobacter phage vB_AxyP_19-32_Axy23,Achromobacter xylosoxidans,50
Achromobacter phage vB_AxyS_19-32_Axy06,Achromobacter xylosoxidans,55
Achromobacter phage vB_AxyS_19-32_Axy14,Achromobacter xylosoxidans,60
Achromobacter phage vB_AxyS_19-32_Axy16,Achromobacter xylosoxidans,58
Achromobacter phage vB_AxyS_19-32_Axy18,Achromobacter xylosoxidans,64
Achromobacter phage vB_AxyS_19-32_Axy19,Achromobacter xylosoxidans,65
Achromobacter phage vB_AxyS_19-32_Axy20,Achromobacter xylosoxidans,66
Achromobacter virus 83-24,Achromobacter xylosoxidans,122
Achromobacter virus Axp3,Achromobacter xylosoxidans,160
Achromobacter virus Axy04,Achromobacter xylosoxidans,160
Achromobacter virus Axy10,Achromobacter xylosoxidans,166
Achromobacter virus Axy11,Achromobacter xylosoxidans,162
Achromobacter virus Axy12,Achromobacter xylosoxidans,164
Achromobacter virus Axy24,Achromobacter xylosoxidans,164
Achromobacter virus JWAlpha,Achromobacter xylosoxidans,182
Achromobacter virus JWX,Achromobacter xylosoxidans,134
Achromobacter virus Motura,Achromobacter animicus,688
Achyranthes bidentata mosaic virus,Achyranthes bidentata,2
Achyranthes virus A,Achyranthes bidentata,1
Acidianus filamentous virus 1,Acidianus hospitalis,80
Acidianus filamentous virus 1,Acidianus infernus,40
Acidianus filamentous virus 2,Acidianus pozzuoliensis,104
Acidianus filamentous virus 2,Acidianus sp. F28,52
Acidianus filamentous virus 6,Acidianus convivator,66
Acidianus filamentous virus 7,Acidianus convivator,57
Acidianus filamentous virus 8,Acidianus convivator,61
Acidianus filamentous virus 9,Acidianus uzoniensis,146
Acidianus spindle-shaped virus 1,Acidianus brierleyi,76
Acidianus tailed spindle virus,Acidianus,190
Acidianus two-tailed virus,Acidianus convivator,144
Acidianus two-tailed virus 2,Saccharolobus solfataricus,63
Acidianus two-tailed virus variant 1,Acidianus convivator,66
Acidithiobacillus phage AcaML1,Acidithiobacillus caldus ATCC 51756,71
Acidovorax phage ACF1,Acidovorax citrulli,89
Acidovorax phage ACPWH,Acidovorax citrulli,64
Acidovorax virus ACP17,Acidovorax citrulli,506
Acinetobacter phage 4316,Acinetobacter baumannii,46
Acinetobacter phage 5W,Acinetobacter baumannii,61
Acinetobacter phage AB-Navy1,Acinetobacter baumannii,247
Acinetobacter phage AB-Navy71,Acinetobacter baumannii,252
Acinetobacter phage AB-Navy97,Acinetobacter baumannii,244
Acinetobacter phage ABP-01,Acinetobacter baumannii,1
Acinetobacter phage ABP-04,Acinetobacter baumannii,1
Acinetobacter phage ABPH49,Acinetobacter baumannii,243
Acinetobacter phage AB_SZ6,Acinetobacter baumannii,50
Acinetobacter phage AC4,Acinetobacter baumannii,250
Acinetobacter phage AIIMS-AbE5-RC,Acinetobacter baumannii,55
Acinetobacter phage AJO2,Acinetobacter johnsonii,25
Acinetobacter phage AM106,Acinetobacter baumannii NIPH 329,70
Acinetobacter phage AM24,Acinetobacter,1
Acinetobacter phage AM24,Acinetobacter baumannii,166
Acinetobacter phage APK09,Acinetobacter baumannii,56
Acinetobacter phage APK127v,Acinetobacter baumannii,53
Acinetobacter phage APK15,Acinetobacter baumannii,54
Acinetobacter phage APK16,Acinetobacter baumannii,54
Acinetobacter phage APK20,Acinetobacter baumannii,58
Acinetobacter phage APK37,Acinetobacter baumannii,56
Acinetobacter phage APK77,Acinetobacter baumannii,57
Acinetobacter phage APK86,Acinetobacter baumannii,56
Acinetobacter phage Ab105-1phi,Acinetobacter baumannii,63
Acinetobacter phage Ab105-2phi,Acinetobacter baumannii,93
Acinetobacter phage Ab105-2phideltaCI404ad,Acinetobacter baumannii,82
Acinetobacter phage Ab105-3phi,Acinetobacter baumannii,77
Acinetobacter phage Ab11510-phi,Acinetobacter baumannii,76
Acinetobacter phage Ab124,Acinetobacter baumannii,47
Acinetobacter phage Ab1656-2,Acinetobacter baumannii 1656-2,67
Acinetobacter phage AbTJ,Acinetobacter baumannii MDR-TJ,64
Acinetobacter phage AbTP3phi1,Acinetobacter baumannii,56
Acinetobacter phage Ab_121,Acinetobacter baumannii,159
Acinetobacter phage Ab_SZ3,Acinetobacter baumannii,56
Acinetobacter phage Abp53,Acinetobacter baumannii,8
Acinetobacter phage Abp9,Acinetobacter,81
Acinetobacter phage Abp95,Acinetobacter baumannii,57
Acinetobacter phage AbpL,Acinetobacter baumannii,53
Acinetobacter phage Abraxas,Acinetobacter baumannii,249
Acinetobacter phage Ac42,Acinetobacter,520
Acinetobacter phage Arbor,Acinetobacter baumannii,83
Acinetobacter phage Aristophanes,Acinetobacter baumannii,46
Acinetobacter phage BM12,Acinetobacter baumannii,48
Acinetobacter phage BS46,Acinetobacter baumannii,176
Acinetobacter phage BUCT628,Acinetobacter sp.,86
Acinetobacter phage BUCT629,Acinetobacter baumannii,89
Acinetobacter phage Barton,Acinetobacter calcoaceticus,61
Acinetobacter phage Bestia,Acinetobacter baumannii,162
Acinetobacter phage Bphi-R1888,Acinetobacter baumannii,78
Acinetobacter phage Bphi-R2919,Acinetobacter baumannii,80
Acinetobacter phage Brutus,Acinetobacter baumannii,86
Acinetobacter phage Cato,Acinetobacter baumannii,85
Acinetobacter phage DMU1,Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841,59
Acinetobacter phage Effie,Acinetobacter calcoaceticus,80
Acinetobacter phage Henu6,Acinetobacter baumannii,234
Acinetobacter phage Herod,Acinetobacter baumannii,168
Acinetobacter phage JeffCo,Acinetobacter calcoaceticus,56
Acinetobacter phage Liucustia,Acinetobacter baumannii,157
Acinetobacter phage MD-2021a,Acinetobacter,17962
Acinetobacter phage MD-2021b,Acinetobacter,220
Acinetobacter phage MRABP9,Acinetobacter baumannii,46
Acinetobacter phage Maestro,Acinetobacter baumannii,264
Acinetobacter phage Melin,Acinetobacter baumannii,252
Acinetobacter phage Meroveus,Acinetobacter baumannii,248
Acinetobacter phage Minot,Acinetobacter baumannii,248
Acinetobacter phage Mithridates,Acinetobacter baumannii,178
Acinetobacter phage Mokit,Acinetobacter baumannii,250
Acinetobacter phage Morttis,Acinetobacter baumannii,259
Acinetobacter phage Octan,Acinetobacter baumannii,247
Acinetobacter phage Paty,Acinetobacter baumannii,55
Acinetobacter phage PhaR5,Acinetobacter baumannii,244
Acinetobacter phage Phab24,Acinetobacter baumannii,171
Acinetobacter phage Pipo,Acinetobacter baumannii,58
Acinetobacter phage RL-2015,Acinetobacter baumannii,25
Acinetobacter phage SH-Ab 15497,Acinetobacter baumannii,58
Acinetobacter phage SH-Ab 15599,Acinetobacter baumannii,177
Acinetobacter phage Scipio,Acinetobacter baumannii,81
Acinetobacter phage Stupor,Acinetobacter baumannii,245
Acinetobacter phage TAC1,Acinetobacter baumannii,163
Acinetobacter phage TaPaz,Acinetobacter baumannii,178
Acinetobacter phage VB_ApiP_XC38,Acinetobacter pittii,194
Acinetobacter phage YC#06,Acinetobacter baumannii,68
Acinetobacter phage YMC11/12/R1215,Acinetobacter sp.,85
Acinetobacter phage YMC11/12/R2315,Acinetobacter sp.,170
Acinetobacter phage YMC13/03/R2096,Acinetobacter baumannii,324
Acinetobacter phage ZaA-2018a,Acinetobacter baumannii,1
Acinetobacter phage ZaA-2018b,Acinetobacter baumannii,1
Acinetobacter phage fEg-Aba01,Acinetobacter baumannii,52
Acinetobacter phage fLi-Aba02,Acinetobacter baumannii,54
Acinetobacter phage fLi-Aba03,Acinetobacter baumannii,54
Acinetobacter phage nACB1,Acinetobacter beijerinckii,95
Acinetobacter phage nACB2,Acinetobacter halotolerans,167
Acinetobacter phage phiAB11,Acinetobacter baumannii,1
Acinetobacter phage phiAB182,Acinetobacter baumannii,1
Acinetobacter phage phiAB2,Acinetobacter baumannii,8
Acinetobacter phage phiAC-1,Acinetobacter soli,164
Acinetobacter phage vB_Ab4_Hep4,Acinetobacter baumannii,55
Acinetobacter phage vB_AbM_WUPSU,Acinetobacter baumannii,83
Acinetobacter phage vB_AbaA_fBenAci001,Acinetobacter baumannii,50
Acinetobacter phage vB_AbaA_fBenAci002,Acinetobacter baumannii,53
Acinetobacter phage vB_AbaA_fBenAci003,Acinetobacter baumannii,47
Acinetobacter phage vB_AbaM_ ABPW7,Acinetobacter sp.,277
Acinetobacter phage vB_AbaM_Acibel004,Acinetobacter baumannii,312
Acinetobacter phage vB_AbaM_B9,Acinetobacter baumannii,167
Acinetobacter phage vB_AbaM_BP10,Acinetobacter baumannii,88
Acinetobacter phage vB_AbaM_CP14,Acinetobacter baumannii,169
Acinetobacter phage vB_AbaM_D22,Acinetobacter sp.,159
Acinetobacter phage vB_AbaM_DP45,Acinetobacter baumannii,245
Acinetobacter phage vB_AbaM_IME284,Acinetobacter,84
Acinetobacter phage vB_AbaM_IME285,Acinetobacter,85
Acinetobacter phage vB_AbaM_IME512,Acinetobacter,91
Acinetobacter phage vB_AbaM_P1,Acinetobacter baumannii,169
Acinetobacter phage vB_AbaM_phiAbaA1,Acinetobacter baumannii,330
Acinetobacter phage vB_AbaP_ABWU2101,Acinetobacter baumannii,57
Acinetobacter phage vB_AbaP_APK116,Acinetobacter baumannii,49
Acinetobacter phage vB_AbaP_APK128,Acinetobacter baumannii,52
Acinetobacter phage vB_AbaP_APK14,Acinetobacter baumannii AB5256,55
Acinetobacter phage vB_AbaP_APK2,Acinetobacter baumannii ACICU,50
Acinetobacter phage vB_AbaP_APK2-2,Acinetobacter baumannii ACICU,50
Acinetobacter phage vB_AbaP_APK26,Acinetobacter baumannii,54
Acinetobacter phage vB_AbaP_APK32,Acinetobacter baumannii,52
Acinetobacter phage vB_AbaP_APK37,Acinetobacter baumannii,51
Acinetobacter phage vB_AbaP_APK44,Acinetobacter baumannii,50
Acinetobacter phage vB_AbaP_APK48,Acinetobacter baumannii,49
Acinetobacter phage vB_AbaP_APK48-3,Acinetobacter baumannii,54
Acinetobacter phage vB_AbaP_APK81,Acinetobacter baumannii,55
Acinetobacter phage vB_AbaP_APK87,Acinetobacter baumannii,54
Acinetobacter phage vB_AbaP_APK89,Acinetobacter baumannii,52
Acinetobacter phage vB_AbaP_APK93,Acinetobacter baumannii,50
Acinetobacter phage vB_AbaP_Alexa,Acinetobacter baumannii NIPH 201,58
Acinetobacter phage vB_AbaP_CEB1,Acinetobacter baumannii,2
Acinetobacter phage vB_AbaP_CEB2,Acinetobacter,1
Acinetobacter phage vB_AbaP_D2M,Acinetobacter baumannii,42
Acinetobacter phage vB_AbaP_HB01,Acinetobacter,174
Acinetobacter phage vB_AbaP_IME546,Acinetobacter baumannii,101
Acinetobacter phage vB_AbaP_PMK34,Acinetobacter baumannii,50
Acinetobacter phage vB_AbaP_WU2001,Acinetobacter baumannii,47
Acinetobacter phage vB_AbaP_ZHSHW,Acinetobacter baumannii,51
Acinetobacter phage vB_AbaS_D0,Acinetobacter,55
Acinetobacter phage vB_AbaS_TCUP2199,Acinetobacter baumannii,98
Acinetobacter phage vB_AbaS_TRS1,Acinetobacter baumannii A118,140
Acinetobacter phage vB_Api_3043-K38,Acinetobacter pittii,53
Acinetobacter phage vB_phiAcib_BQ1,Acinetobacter baumannii,1
Acinetobacter phage vB_phiAcib_BQ2,Acinetobacter baumannii,1
Acinetobacter phage vB_phiAcib_BQ4,Acinetobacter baumannii,1
Acinetobacter virus 133,Acinetobacter johnsonii,514
Acinetobacter virus AB1,Acinetobacter baumannii,170
Acinetobacter virus AB2,Acinetobacter baumannii,164
Acinetobacter virus AB3,Acinetobacter baumannii,58
Acinetobacter virus AM101,Acinetobacter baumannii,500
Acinetobacter virus AP22,Acinetobacter,5
Acinetobacter virus AP22,Acinetobacter baumannii,182
Acinetobacter virus AS11,Acinetobacter baumannii,102
Acinetobacter virus AS12,Acinetobacter,3
Acinetobacter virus AS12,Acinetobacter baumannii,98
Acinetobacter virus AbC62,Acinetobacter baumannii,168
Acinetobacter virus AbKT21III,Acinetobacter baumannii,84
Acinetobacter virus AbP2,Acinetobacter baumannii,176
Acinetobacter virus AbTZA1,Acinetobacter baumannii,506
Acinetobacter virus Abp1,Acinetobacter baumannii,108
Acinetobacter virus Aci01-1,Acinetobacter baumannii,326
Acinetobacter virus Aci02-2,Acinetobacter baumannii,342
Acinetobacter virus Aci05,Acinetobacter baumannii,320
Acinetobacter virus Aci07,Acinetobacter baumannii,104
Acinetobacter virus Aci08,Acinetobacter baumannii,106
Acinetobacter virus Acibel007,Acinetobacter baumannii,106
Acinetobacter virus Acj61,Acinetobacter,9
Acinetobacter virus Acj61,Acinetobacter johnsonii,482
Acinetobacter virus Acj9,Acinetobacter,12
Acinetobacter virus Acj9,Acinetobacter johnsonii,506
Acinetobacter virus Apostate,Acinetobacter baumannii,488
Acinetobacter virus B1,Acinetobacter baumannii,102
Acinetobacter virus B1251,Acinetobacter baumannii,124
Acinetobacter virus B3,Acinetobacter baumannii,98
Acinetobacter virus B5,Acinetobacter baumannii,106
Acinetobacter virus Berthold,Acinetobacter baumannii,500
Acinetobacter virus D2,Acinetobacter baumannii,94
Acinetobacter virus Fri1,Acinetobacter,3
Acinetobacter virus Fri1,Acinetobacter baumannii,108
Acinetobacter virus IME200,Acinetobacter baumannii,108
Acinetobacter virus IMEAB3,Acinetobacter baumannii,114
Acinetobacter virus KARL1,Acinetobacter baumannii,506
Acinetobacter virus Kimel,Acinetobacter baumannii,504
Acinetobacter virus Konradin,Acinetobacter baumannii,498
Acinetobacter virus LZ35,Acinetobacter baumannii,166
Acinetobacter virus Lazarus,Acinetobacter baumannii,494
Acinetobacter virus Loki,Acinetobacter baumannii ATCC 17978,102
Acinetobacter virus ME3,Acinetobacter baumannii,652
Acinetobacter virus P1,Acinetobacter,6
Acinetobacter virus P1,Acinetobacter pittii,98
Acinetobacter virus P2,Acinetobacter pittii,108
Acinetobacter virus PD6A3,Acinetobacter baumannii,96
Acinetobacter virus PDAB9,Acinetobacter baumannii,96
Acinetobacter virus Petty,Acinetobacter baumannii,90
Acinetobacter virus PhT2,Acinetobacter baumannii,492
Acinetobacter virus Presley,Acinetobacter nosocomialis M2,190
Acinetobacter virus R3177,Acinetobacter sp.,160
Acinetobacter virus SH-Ab 15519,Acinetobacter baumannii,102
Acinetobacter virus SWHAb1,Acinetobacter baumannii,48
Acinetobacter virus SWHAb3,Acinetobacter baumannii,49
Acinetobacter virus WCHABP1,Acinetobacter baumannii,178
Acinetobacter virus WCHABP12,Acinetobacter baumannii,176
